"","fdis_abundrela","feve_abundrela","fdiv_abundrela"
"F10P1",0.280609593692379,0.629411154181942,0.665645006231625
"F10P2",0.250825274056655,0.592760318855225,0.502561975524434
"F10P3",0.266559177936977,0.589130546129833,0.517534363602831
"F10P4",0.20048213530794,0.534385501570902,0.597758187941215
"F11P1",0.196730149805868,0.663028119076967,0.593917857156552
"F11P2",0.235349090704491,0.544877410965401,0.618611255799329
"F11P3",0.24505817194897,0.634419186171161,0.510146858922245
"F12P1",0.159965420873053,0.478773854082532,0.517526035453747
"F12P2",0.298416710160357,0.625869340653671,0.689932214897765
"F12P3",0.314250154615754,0.586488783021864,0.616703963813857
"F12P4",0.312884939375666,0.542969112850849,0.579764892349935
"F13P1",0.192058001568106,0.77160341430993,0.497459355864699
"F13P2",0.211842818291615,0.719208425912556,0.726068147382693
"F13P3",0.185906659407495,0.620137579316503,0.484976461666811
"F13P4",0.211381915110636,0.513835612965309,0.485720287003932
"F1P1",0.207777382657699,0.765853055288644,0.7007549157787
"F1P2",0.210567422948649,0.534310975760581,0.724472829090227
"F1P3",0.334491429381784,0.797697211755611,0.664074147281189
"F1P4",0.269856722320877,0.707596469682967,0.711339319356287
"F2P1",0.308880149336566,0.70795779376711,0.624441680275149
"F2P2",0.330557098414309,0.738320787298524,0.705320313577319
"F2P3",0.322466892564382,0.569502129614509,0.465097837501551
"F30P1",0.254232459685482,0.618386596648938,0.671974900724157
"F30P2",0.286917560303748,0.558570780925098,0.562454180980776
"F30P3",0.293570150143644,0.506828645236833,0.596376264819527
"F30P4",0.306296134576078,0.659992097140727,0.510075475387226
"F31P1",0.210026410282535,0.688787752527449,0.870578938102027
"F31P2",0.255747438961605,0.741948209129047,0.626261975809089
"F32P1",0.276383255753044,0.545454545454545,0.755007895713687
"F32P2",0.250663994493815,0.623287017003791,0.821012225298942
"F32P3",0.270966751877558,0.666666666666667,0.730208989445264
"F33P1",0.182284347384324,0.71641090986735,0.814229689461041
"F33P2",0.300949304286865,0.708899864430371,0.755772878010633
"F33P3",0.328583098327265,0.840905058561981,0.630125835960815
"F33P4",0.238014656775429,0.784913761369883,0.641573508977833
"F34P1",0.259744675524194,0.844787251968673,0.697719217704921
"F34P2",0.309120505713741,0.772428477605748,0.637789426495178
"F34P3",0.261249190299821,0.773552387935158,0.599214894534218
"F34P4",0.293468957507593,0.75572999385119,0.5196550167776
"F35P1",0.152611227514258,0.702062917685825,0.637161748861477
"F35P2",0.2170502250182,0.678830753375005,0.634191548407547
"F36P1",0.250024932183952,0.71208798778751,0.642507527192035
"F36P2",0.221609415525874,0.751703456425833,0.399504736201821
"F37P1",0.274808806254234,0.575659037938022,0.578857035532493
"F37P2",0.301296082993552,0.712386712273198,0.68052542131068
"F37P3",0.254757722074254,0.685039182257076,0.5209151279802
"F37P4",0.278935934531496,0.694650555267293,0.507932672385535
"F38P1",0.288787948139945,0.629039566532861,0.637021203090552
"F38P2",0.225554962130628,0.772923159438357,0.671774104449579
"F38P3",0.198132986980615,0.59098521361464,0.685267899284916
"F38P4",0.306138867306135,0.687181717467806,0.766629228633473
"F39P1",0.28156063589929,0.697981170149673,0.759692933147999
"F39P2",0.297632683336819,0.630196754079212,0.723730181208781
"F3P1",0.273040741469893,0.677789665623939,0.59431996704633
"F3P2",0.319574837267003,0.603166684190014,0.545925043152514
"F3P3",0.176741149560602,0.511332324678565,0.768448029566065
"F3P4",0.269166412135081,0.558957638137531,0.537391516740368
"F40P1",0.330009143390191,0.667466666417074,0.64259120184722
"F40P2",0.281253575455794,0.600400526349511,0.583747628020336
"F40P3",0.288265048330788,0.57027806850024,0.631554234653518
"F40P4",0.329482423052709,0.75,0.712075097433153
"F41P1",0.241508561674309,0.857570633989843,0.67789553540828
"F41P2",0.293928808566883,0.793849146772264,0.606744507867272
"F41P3",0.255321233985222,0.776013149826231,0.75236470993623
"F41P4",0.225638247490453,0.696499334731362,0.687188893471086
"F41P5",0.314927604269662,0.870336137711217,0.679718466140848
"F41P6",0.312778694619983,0.76219232560952,0.776005030903732
"F42P1",0.302649040754092,0.545319221024799,0.542132998236526
"F42P2",0.287954474848856,0.532921369739671,0.590208055075127
"F42P3",0.283994562424465,0.713241562769872,0.635856692726215
"F42P4",0.221924538177421,0.53910587289274,0.669693843738975
"F43P1",0.254903818123259,0.693215225541936,0.697278180379889
"F43P2",0.181288761346066,0.59658319446734,0.629702468464337
"F43P3",0.289901095817519,0.652042011720377,0.547210513137
"F44P1",0.168290017976549,0.517746228749233,0.508795564328136
"F44P2",0.230955605103381,0.563692657714796,0.480658059582532
"F44P3",0.308176755898938,0.443064121785175,0.482946339804034
"F44P4",0.254909483025925,0.494144872145883,0.443246608118255
"F45P1",0.251612581213181,0.585639831199217,0.510849943713792
"F45P2",0.271758139930719,0.731194609243896,0.587233142280146
"F46P1",0.2343400313827,0.630528397001858,0.579357651682444
"F46P2",0.14985931074994,0.599264655822349,0.372559714555142
"F47P1",0.314950647265317,0.555611288463947,0.5512960251903
"F47P2",0.207581700906416,0.570218059626881,0.491895597032061
"F47P3",0.248126338912025,0.680411176682358,0.50196254583004
"F48P1",0.290599752803943,0.611740135777653,0.630515890960257
"F48P2",0.316900673308917,0.515739483897532,0.575352747335374
"F49P1",0.317120587633962,0.537426100398412,0.50841103289601
"F49P2",0.254170700012009,0.578679623209491,0.534757362419878
"F49P3",0.304433238117879,0.47302333836158,0.506185442475183
"F4P1",0.290096259142441,0.580934175535708,0.661663790347255
"F4P2",0.272853425845702,0.642122195937188,0.503900612063092
"F50P1",0.262015167119381,0.541455719458015,0.592592697113085
"F50P2",0.251619340373925,0.567702947384072,0.583765697120022
"F50P3",0.18079245312769,0.542772862857301,0.55404018845049
"F50P4",0.319751830754874,0.607689204467336,0.6744215840267
"F51P1",0.178545739980004,0.570496701578189,0.536750965886874
"F51P2",0.17304227119951,0.415602290817287,0.551183158009927
"F51P3",0.174492655003086,0.56375887674574,0.49456243011922
"F52P1",0.291656293464498,0.755345580658956,0.699477957976955
"F52P2",0.261060873450288,0.866424766460599,0.716098287152486
"F52P3",0.246589255070919,0.564394037203123,0.543043080664666
"F52P4",0.255435668069355,0.738749177508643,0.645644248840746
"F52P5",0.199038394132447,0.604960231967994,0.659352431215483
"F52P6",0.184728152936042,0.654659735799233,0.769498181431905
"F52P7",0.215406089898729,0.5054762034714,0.553576476648982
"F53P1",0.295926805666215,0.700019481771859,0.628331879360684
"F53P2",0.259375350563796,0.69065843524836,0.558769110965807
"F54P1",0.245863204148793,0.772420257587407,0.691022767980325
"F54P2",0.278144528640093,0.821699843594798,0.718210632358354
"F54P3",0.346348807237455,0.563688131346005,0.566720186329967
"F54P4",0.197412976957181,0.806444493834407,0.400947950681479
"F54P5",0.281701964217593,0.798465456663876,0.665924020591203
"F54P6",0.243581608410452,0.711065620425602,0.592436620051791
"F5P1",0.324295254458913,0.618143994848639,0.526602145103393
"F5P2",0.271715517810623,0.712188921934221,0.612874385998538
"F5P3",0.272740425883804,0.658592346237963,0.777421763005515
"F6P1",0.330461327830219,0.563613238216134,0.764081612352306
"F6P2",0.310287017082998,0.708825493543438,0.717070323215058
"F6P3",0.34290331270703,0.679313852033144,0.756539975190615
"F7P1",0.343645434304414,0.580685383470899,0.64986811603993
"F7P2",0.281537680339219,0.658784991794809,0.552691174775209
"F8P1",0.338691310816203,0.589386221814024,0.498806291166117
"F8P2",0.294845990777309,0.621167041121113,0.637583005920512
"F9P1",0.221403519521274,0.724824386440926,0.632784977678049
"F9P2",0.334444619333179,0.846919298734221,0.787744062280109
"F9P3",0.275197841551494,0.752893132406581,0.741119534330916
