PCNM7,PCNM4,PCNM5,PCNM8,PCNM16,PCNM10,TEMPMIN,TEMPSD,PRECDRIEST,PREC,data_parcelas_qeco,ELEV,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
0.123417465,0.033598171,-0.060511407,0.155634444,-0.086625126,-0.033134008,0.221431927,0.166030508,-0.254414923,0.071617362,-0.122871541,-0.464684719,0.084157739,-0.623499113,-2.162800636,0.97245365,0.782400457
0.088007126,0.029884005,-0.058424649,0.142424162,-0.01525989,-0.023733464,-0.031159583,-0.078396167,0.203676219,1.082592345,0.265270969,-0.098084239,-0.79794774,0.776414493,0.648001736,-0.2962086,-0.855971991
0.088067425,0.029345837,-0.058847505,0.142533033,-0.013013061,-0.023661863,0.053037587,0.003079391,0.020439762,0.678202352,-0.607443963,-0.256301289,-0.015499174,-0.593179785,-0.75443687,0.902418143,1.041051953
0.087994056,0.029328982,-0.058910886,0.142522953,-0.012927333,-0.023540974,0.053037587,0.003079391,0.020439762,0.364800107,-0.025957057,-0.128955859,0.154361239,-0.782884591,-0.094072124,1.330152622,1.436217683
-0.075530553,-0.060009491,-0.124810003,0.006059162,0.072596963,0.063157573,0.642417778,-0.257642396,-1.873003627,-1.084264036,0.8656562,-0.823567294,-1.808580219,0.84740231,2.139545566,-1.033400759,-1.443295631
-0.07545406,-0.05998685,-0.124825951,0.006172011,0.072703895,0.06312398,0.642417778,-0.159871726,-1.842464218,-1.084264036,0.8656562,-0.808131484,-2.081756008,-0.055686702,1.732760887,-1.812687907,-1.33085613
-0.076331617,-0.060742254,-0.125011349,0.004530185,0.071888057,0.062974733,0.558220608,-0.502069071,-1.811924808,-1.202211118,0.768741716,-0.823567294,-1.894882899,1.206968027,0.80433467,-0.909455613,-1.199608971
-0.009912774,-0.02909931,-0.116486281,-0.015330348,-0.02286747,0.040023545,0.642417778,-0.143576614,-1.68976717,-1.438105281,0.8656562,-0.746388245,-0.331521536,0.770085907,1.671743185,-0.729410821,-1.025573469
-0.009217774,-0.028780261,-0.116414777,-0.014695224,-0.022655396,0.039782898,0.642417778,0.214915843,-1.628688351,-1.333637866,1.059485169,-0.746388245,-0.912584374,0.974716412,-0.61303077,-0.611523654,-0.406842153
-0.009377874,-0.028706677,-0.116325452,-0.014857894,-0.022993291,0.039997109,0.642417778,-0.143576614,-1.68976717,-1.26960945,1.253314138,-0.746388245,-0.414639448,1.001639019,-0.136124157,0.620775673,-0.023578708
-0.008499298,-0.028290205,-0.116208861,-0.014058229,-0.022754452,0.039700403,0.642417778,0.214915843,-1.628688351,-1.26960945,0.671827231,-0.746388245,-1.051021799,0.861684235,0.046453483,0.352435724,0.552234223
-0.161027459,-0.12040185,-0.100732081,-0.170952196,-0.057028108,0.065618445,0.053037587,-0.355413066,-1.231676027,-0.369841715,0.284169294,-0.206134907,-0.966545974,0.65965932,1.637046844,-1.720796692,-1.159702746
-0.161167767,-0.120475407,-0.100998973,-0.17096657,-0.056791766,0.065955718,0.137234757,-0.502069071,-1.231676027,-0.379951464,-0.006089587,-0.345057194,-0.224397432,-0.541441089,0.527472949,-1.220496962,-0.93553812
-0.160713171,-0.120248935,-0.100226055,-0.170861876,-0.057412058,0.064980038,0.053037587,-0.355413066,-1.231676027,-0.369841715,0.574912747,-0.5148511,-0.668331831,0.289375029,1.474663021,-1.57461521,-1.340733306
-0.167047733,-0.126850128,-0.100192383,-0.191169545,-0.075090746,-0.070208879,0.642417778,-0.029510832,-2.086779494,-2.068279687,0.788124612,-0.719375579,-0.850817851,1.219088283,1.074509322,-0.263672228,-0.694936247
-0.061874443,-0.164788276,-0.113474585,0.204028706,0.092014083,-0.005921777,0.726614948,-0.127281502,0.356373267,0.364800107,0.100031773,-0.823567294,-0.076067401,0.251160319,-0.911339529,1.127643179,0.49141753
-0.021370273,-0.147443598,-0.115665879,0.156140346,-0.139439708,0.007688533,0.726614948,-0.127281502,0.356373267,0.206414026,0.196946258,-0.823567294,0.51872133,-0.264944312,-1.352022927,1.41226121,0.909139692
-0.061688556,-0.164793457,-0.113547167,0.203685691,0.091571122,-0.00593904,0.726614948,-0.127281502,0.356373267,0.364800107,-0.142254438,-0.823567294,-0.647369603,-0.094139271,-0.089634477,0.377072817,0.410385713
-0.061518268,-0.164799939,-0.113623764,0.203382346,0.091207305,-0.005961162,0.726614948,0.214915843,0.386912676,0.385019607,-0.258551819,-0.823567294,-0.336205769,0.233974773,-0.76993343,0.53872772,0.262141455
0.017855368,-0.126086841,-0.114239662,0.092451516,-0.13492125,0.038116562,0.726614948,-0.371708178,0.234215629,0.132275861,1.253314138,-0.823567294,0.240543216,-0.243152444,-0.688421525,0.626543253,0.366666221
0.017706968,-0.125997441,-0.114090211,0.092616652,-0.134975842,0.038158308,0.726614948,0.100850061,0.081518581,-0.076658969,0.8656562,-0.823567294,-0.219136242,-0.00845757,-1.118606005,0.872709818,0.664159779
0.017446016,-0.126194376,-0.11412595,0.092933919,-0.134546347,0.038069349,0.642417778,0.28009629,0.264755038,-0.076658969,0.8656562,-0.823567294,0.751268474,-1.086890816,-0.857643952,1.037426385,1.424979445
-0.007631778,0.080553138,-0.051099998,0.013829427,0.157088673,0.026130342,0.474023438,1.143737209,0.845003819,0.492856938,0.545838401,-0.209993859,-0.766266346,0.92336837,1.426858808,-0.04326778,-1.068539177
-0.00796082,0.080837946,-0.051367143,0.013398285,0.157787105,0.026003038,0.474023438,0.654883859,0.875543228,0.492856938,0.545838401,-0.248583384,-0.299113175,1.359813722,-0.372349829,0.439112594,-0.149299165
-0.000384447,0.079729191,-0.045676297,0.02159385,-0.013447055,0.054109524,0.305629098,0.817834976,0.936622047,0.543405687,0.085979173,-0.190699097,-0.533319901,0.897256595,0.216563448,0.509939722,-0.784019845
-0.000817128,0.080024379,-0.045921794,0.021200947,-0.01346621,0.054056544,0.305629098,0.817834976,0.936622047,0.748970601,0.933496339,-0.128955859,0.179066957,-0.324947652,-0.760435528,0.566055474,0.290509685
-0.016459625,-0.173325106,0.151556242,-0.100293959,0.043616795,0.011539871,-2.136088833,-2.32712158,0.203676219,1.271307676,-1.73116741,1.858404636,-0.333251224,-0.938582378,0.109590793,-2.318052642,-1.016840599
-0.016386071,-0.17330442,0.151484992,-0.100469992,0.043827597,0.011515105,-2.136088833,-2.32712158,0.203676219,1.271307676,-1.73116741,2.105377591,1.81665347,-1.605880989,-0.576226438,1.328552808,1.163093227
0.010655295,-0.094678195,0.106150743,0.025164783,-0.039706539,0.090883037,-4.325215254,-1.805678006,-2.880804141,-3.844225742,-1.852310515,3.664394367,0.976928945,-1.005389007,1.054786416,0.450233503,0.944735062
0.036097275,-0.080175192,0.088522915,0.000476482,-0.057946027,0.066218663,-3.904229404,-1.805678006,-1.72030658,-2.189596685,-1.610024304,3.456010937,1.171754331,-1.069284671,0.94243636,0.546107495,0.997978559
0.036259139,-0.080036459,0.088442389,0.000652274,-0.057785649,0.066261231,-3.904229404,-1.805678006,-1.72030658,-2.189596685,-1.876539136,3.351819222,1.676881748,-2.373922777,0.439185606,0.895246516,1.936799017
-0.021691217,0.024586501,0.015716771,0.038269036,-0.045558987,-0.00663213,-0.283751093,-0.208757061,0.875543228,0.701791768,-1.391966714,0.561796624,-0.836284552,0.644331849,1.59876123,-1.468815796,-1.319327662
0.096917499,0.006287975,-0.004358223,-0.041644246,0.086453871,0.07288452,-0.031159583,0.850425199,0.814464409,0.56025527,-0.641364033,0.179760335,0.034278018,0.271310927,-0.401662261,1.364449903,0.733626178
-0.022089072,0.024889126,0.0153413,0.038219023,-0.045656858,-0.006785414,-0.283751093,0.866720311,0.906082638,0.759080351,-0.762022566,0.530925005,0.612667448,0.037440407,-0.362993782,0.538326565,0.782755181
-0.114865005,0.055078896,0.023974599,0.071311398,-0.023992016,-0.044714677,-0.536342603,-0.241347284,0.936622047,0.846698183,-1.610024304,0.770180054,1.023977759,1.115186589,-0.363376631,0.956792497,0.312393748
-0.10945828,0.009436255,0.037544193,0.063391142,0.037928316,-0.054627297,-1.041525623,-1.626431778,1.150397914,1.584709921,-1.004308777,1.090473105,1.751611614,-1.676404833,0.13002925,0.450586724,1.563675765
-0.09468304,0.003900175,0.045388591,0.085293579,-0.070872257,-0.05453118,-1.041525623,-1.626431778,1.150397914,1.547640838,-1.610024304,1.33744606,1.568370932,-3.178841114,-0.219805574,-0.59455254,1.843518204
-0.110002744,0.009307226,0.037732017,0.063606863,0.037128317,-0.054625762,-1.041525623,-1.626431778,1.150397914,1.547640838,-1.852310515,1.028729866,0.548946023,-1.702562767,-0.737531533,-0.803376286,0.685859632
-0.087052574,-0.010982297,0.059369703,0.061614569,-0.202135031,-0.044399277,-1.041525623,-1.626431778,1.150397914,1.547640838,-1.585795683,1.271843869,0.686360247,-2.680991021,-2.003149609,0.166226985,1.48829733
0.012055299,-0.169022679,0.132917416,-0.146783755,-0.1147331,0.035831834,-2.388680344,-1.773087783,0.050979172,1.719506585,-1.828081894,2.186415592,-0.958736783,-1.032463799,0.423301641,-2.593891903,-2.210989094
0.018042997,-0.163671124,0.121773161,-0.161463964,-0.031183435,0.039087697,-2.304483173,-2.783384707,0.020439762,1.274677592,-1.828081894,2.225005116,1.34871427,-2.558274583,-0.039012385,0.598806654,1.384442596
-0.016061554,-0.173147023,0.151242228,-0.100530238,0.046409885,0.011298122,-0.367948263,-0.730200635,0.539609724,0.661352769,-0.665108081,0.488476528,-0.331174923,0.052286453,0.564179441,-1.666758288,0.230162727
-0.01598064,-0.173065784,0.15108802,-0.100697923,0.046492135,0.011236144,-0.283751093,-0.371708178,0.478530905,0.661352769,-0.907394292,0.515489195,0.272570302,-0.694445663,-1.277445741,-0.02566418,0.742050826
0.084333199,0.091624798,-0.105811782,-0.07963904,-0.089189988,-0.028568988,0.474023438,1.469639443,0.906082638,0.327731024,0.788609185,-0.5148511,0.100117879,0.828220357,-0.018350311,0.667400712,0.201120818
0.066957912,0.099533098,-0.093221027,-0.055823132,0.056936245,-0.064268263,0.810812118,1.094851874,0.814464409,0.142385611,0.545838401,-0.669209197,-0.846678299,0.774102586,-0.510366062,0.411190081,-0.436006424
0.066628685,0.104220758,-0.126609265,-0.088400896,0.148224689,-0.092563235,0.810812118,1.094851874,0.814464409,0.142385611,0.546322974,-0.696221864,-0.85356303,-0.21938962,0.146300637,0.1247413,-0.727828652
0.042995453,0.104631287,-0.04721918,0.011334648,0.098931216,-0.050074789,0.642417778,0.752654529,0.845003819,0.273812358,0.424695296,-0.476261576,-0.481189237,0.501627949,0.689912892,0.016655988,-0.527047909
0.049744786,-0.057177373,0.063934079,0.016184648,0.054749512,0.029088989,0.221431927,0.67117897,0.631227952,0.452417939,0.061265979,-0.05177681,1.636009086,-1.786622467,-1.163546031,1.04962572,1.382767521
0.052390172,-0.069776994,0.075134928,-0.015092541,0.036271103,0.039917283,0.053037587,0.18232562,0.722846181,0.674832435,-0.059877126,0.067850715,0.485723727,-0.143493142,-0.656174597,0.31324035,0.562513098
0.04800896,-0.043984908,0.051609051,0.044920629,0.119904346,0.019180052,0.305629098,0.345276737,0.692306771,0.428828523,-1.028537398,-0.155968526,-1.926775416,1.265525197,2.312429055,-2.267490631,-2.938301251
0.097923318,-0.031186779,0.032777342,-0.018038852,0.156752112,0.051826737,0.305629098,0.345276737,0.692306771,0.428828523,0.30355219,-0.206134907,0.192146733,-0.327691975,0.431049913,0.297465867,0.767176968
0.024069264,0.026045777,-0.035767174,-0.066613449,0.118753352,0.04315523,0.389826268,1.225212768,1.028240276,0.681572269,0.424695296,-0.159827478,-0.343653005,0.675960194,0.214098089,0.669430578,-0.29063373
-0.044638297,0.035950719,-0.04304004,-0.056903299,0.095558821,0.000185893,0.389826268,1.225212768,1.028240276,0.681572269,0.424695296,-0.101943192,1.252176783,-0.303057169,-0.639106709,1.76463634,1.309708421
0.054391416,0.048752182,-0.00560127,0.063776261,0.021481527,-0.073625664,0.726614948,0.752654529,-0.223875514,-0.598996044,1.253314138,-0.796554627,-0.360699095,0.693383899,0.525252686,0.425949631,0.558365483
0.05567452,0.057443621,-0.003358609,0.066614302,0.032597643,-0.07444171,0.726614948,0.5734083,-0.223875514,-0.602365961,1.059485169,-0.796554627,-0.939476956,1.358882063,0.214098089,0.894451771,0.113897205
0.087141938,0.102054594,0.028245354,-0.048886793,-0.120424048,-0.065676894,0.726614948,0.5734083,-0.223875514,-0.602365961,1.059485169,-0.703939769,0.655415414,0.421361989,1.654417168,0.080382758,0.075091272
0.091233244,0.113309298,0.038494524,-0.07896188,-0.04174047,-0.068269814,0.305629098,0.166030508,0.264755038,-0.602365961,1.059485169,-0.437672052,-0.99441182,1.239993136,0.956740878,0.070301271,-0.502273181
-0.007551924,0.034511482,-0.050237595,-0.082101249,0.053794097,0.029208399,0.474023438,1.33927855,1.058779685,0.597324353,-0.059877126,-0.360493004,0.289059315,0.765536789,-0.344233832,0.353955089,-0.405918398
-0.007544213,0.034596515,-0.050593758,-0.082426966,0.054087329,0.029149981,0.558220608,1.33927855,1.058779685,0.556885354,0.30355219,-0.360493004,-0.542529921,0.783790335,0.314825721,-0.751550146,-1.267861294
-0.044573277,0.036342238,-0.044650947,-0.05839412,0.096845158,-3.98E-05,0.558220608,1.33927855,1.058779685,0.556885354,0.667466079,-0.437672052,-0.750161297,0.196560017,-0.228369466,-0.053407052,-0.794479055
-0.006162937,0.046640318,-0.056096469,-0.098830965,-0.022128992,0.020549164,0.474023438,1.062261651,1.028240276,0.546775604,0.788124612,-0.360493004,0.257812031,-0.34729018,-1.258671066,0.83188089,0.23121697
-0.047980148,0.036944831,0.052268864,0.100365336,0.018090475,-0.017559464,-0.536342603,-0.078396167,0.845003819,0.637763353,-1.51310982,0.924538151,1.606915999,-0.982938034,-0.924899013,-0.216469194,0.570834093
-0.114456524,0.054415068,0.024720691,0.071644044,-0.025052476,-0.044576549,-0.704736943,-0.290232619,0.845003819,0.651243019,-1.852310515,1.0017172,-0.93360896,0.904736076,-1.033374933,-1.185111889,-0.947502946
