PCNM5,PCNM7,PCNM9,PCNM3,PCNM13,PCNM35,PCNM11,PCNM10,SAND,TEMPSD,ELEV,fdis_sp
-0.060511407,0.123417465,-0.021122871,-0.142599927,0.126310996,0.037633395,-0.010036172,-0.033134008,-0.102084033,0.166030508,-0.464684719,-0.604086253
-0.058424649,0.088007126,-0.007987587,-0.142646304,0.047025119,-0.033469131,-0.048428518,-0.023733464,-0.384435389,-0.078396167,-0.098084239,-0.505519707
-0.058847505,0.088067425,-0.007200172,-0.142666635,0.046699263,-0.034028318,-0.049041085,-0.023661863,0.085837002,0.003079391,-0.256301289,-1.118610438
-0.058910886,0.087994056,-0.007213059,-0.142723533,0.046725561,-0.034116336,-0.049013437,-0.023540974,-0.571886622,0.003079391,-0.128955859,0.056839004
-0.124810003,-0.075530553,0.001754342,-0.157560345,0.040378165,0.006059117,0.045788947,0.063157573,-0.665847139,-0.257642396,-0.823567294,0.176049833
-0.124825951,-0.07545406,0.001787884,-0.15759371,0.040385258,0.00606797,0.045743533,0.06312398,-0.684639243,-0.159871726,-0.808131484,0.752447971
-0.125011349,-0.076331617,0.002566352,-0.157209162,0.040067313,0.006462071,0.045879542,0.062974733,-0.496248405,-0.502069071,-0.823567294,0.339404302
-0.116486281,-0.009912774,0.05360638,-0.162945734,-0.031584445,-0.008906118,-0.026410004,0.040023545,-0.684639243,-0.143576614,-0.746388245,0.726822982
-0.116414777,-0.009217774,0.053735536,-0.163075527,-0.031749063,-0.009013649,-0.026869169,0.039782898,-0.966520796,0.214915843,-0.746388245,0.282884462
-0.116325452,-0.009377874,0.053426868,-0.163041395,-0.031725384,-0.00913966,-0.026693427,0.039997109,-1.153972029,-0.143576614,-0.746388245,-1.091913199
-0.116208861,-0.008499298,0.053546588,-0.163187189,-0.031930363,-0.009296006,-0.027263716,0.039700403,-0.590678725,0.214915843,-0.746388245,-0.312116835
-0.100732081,-0.161027459,0.029655548,-0.080223701,-0.001290246,0.012951355,0.07747469,0.065618445,-0.590678725,-0.355413066,-0.206134907,0.476451276
-0.100998973,-0.161167767,0.029858189,-0.08043906,-0.001325344,0.012720397,0.077475986,0.065955718,-0.121345939,-0.502069071,-0.345057194,1.154793245
-0.100226055,-0.160713171,0.029279315,-0.079821342,-0.001233406,0.013314744,0.077426,0.064980038,-1.26672465,-0.355413066,-0.5148511,0.185449095
-0.100192383,-0.167047733,-0.012189374,-0.080600928,-0.010400638,-0.006868005,0.04275271,-0.070208879,-1.173233935,-0.029510832,-0.719375579,-0.382570124
-0.113474585,-0.061874443,-0.069069184,0.129384334,0.024853191,-0.021674783,0.067742256,-0.005921777,-0.741015554,-0.127281502,-0.823567294,-1.999356544
-0.115665879,-0.021370273,0.002724287,0.152671469,-0.003837137,0.067529938,-0.000942858,0.007688533,-0.881486528,-0.127281502,-0.823567294,-1.038251761
-0.113547167,-0.061688556,-0.069209937,0.129295136,0.024636787,-0.021476157,0.067886077,-0.00593904,-1.022897107,-0.127281502,-0.823567294,-0.755285794
-0.113623764,-0.061518268,-0.069319,0.129236211,0.024458118,-0.021269975,0.068071247,-0.005961162,-0.928936589,0.214915843,-0.823567294,-1.289913003
-0.114239662,0.017855368,0.046792799,0.174923597,-0.041635735,0.011143169,-0.073585477,0.038116562,-0.966520796,-0.371708178,-0.823567294,-0.509191755
-0.114090211,0.017706968,0.047043584,0.175000705,-0.041583339,0.010943564,-0.073882396,0.038158308,-0.590678725,0.100850061,-0.823567294,-1.779745787
-0.11412595,0.017446016,0.04638163,0.174713185,-0.041544824,0.010761988,-0.073599563,0.038069349,-0.590678725,0.28009629,-0.823567294,-0.181199611
-0.051099998,-0.007631778,-0.044666875,-0.02134474,-0.003520618,-0.004764342,-0.101030595,0.026130342,-0.393361638,1.143737209,-0.209993859,-0.195009928
-0.051367143,-0.00796082,-0.044194827,-0.021221289,-0.003894296,-0.002611016,-0.101325086,0.026003038,-0.393361638,0.654883859,-0.248583384,-1.126153634
-0.045676297,-0.000384447,-0.086488886,-0.020842521,-0.038326203,-0.003634937,-0.119755868,0.054109524,0.193421795,0.817834976,-0.190699097,-0.763712378
-0.045921794,-0.000817128,-0.086115609,-0.020710587,-0.038993078,-0.000839608,-0.120133999,0.054056544,-0.862694424,0.817834976,-0.128955859,-1.147658225
0.151556242,-0.016459625,0.130886381,-0.052385502,-0.004264233,0.054838394,0.000921679,0.011539871,1.720280207,-2.32712158,1.858404636,1.414350104
0.151484992,-0.016386071,0.130785693,-0.052336044,-0.004255306,0.054701035,0.000910813,0.011515105,1.72075001,-2.32712158,2.105377591,1.685751933
0.106150743,0.010655295,-0.109294981,-0.067560794,0.063487172,0.080254842,-0.108155513,0.090883037,1.838200657,-1.805678006,3.664394367,0.34566135
0.088522915,0.036097275,-0.091440772,-0.064517058,-0.01126504,0.003588792,0.003006684,0.066218663,1.696790078,-1.805678006,3.456010937,0.435873222
0.088442389,0.036259139,-0.09168301,-0.064551502,-0.011155736,0.002998987,0.003204177,0.066261231,1.814240725,-1.805678006,3.351819222,0.972619067
0.015716771,-0.021691217,0.043161329,0.003554354,-0.259195203,0.003473907,0.04309886,-0.00663213,1.462358586,-0.208757061,0.561796624,-0.577915069
-0.004358223,0.096917499,-0.173413478,0.020685151,-0.127400118,0.240632364,0.070873903,0.07288452,0.522753409,0.850425199,0.179760335,-0.742691787
0.0153413,-0.022089072,0.043217794,0.003525277,-0.259486699,0.005509048,0.043093994,-0.006785414,0.639734254,0.866720311,0.530925005,-0.286537504
0.023974599,-0.114865005,0.113451841,-0.008047579,0.078553925,-0.018025287,-0.063923824,-0.044714677,1.696790078,-0.241347284,0.770180054,0.681951776
0.037544193,-0.10945828,0.16766244,-0.053803687,-0.009330053,0.030199481,0.014091748,-0.054627297,1.086046713,-1.626431778,1.090473105,1.003452998
0.045388591,-0.09468304,0.179857403,-0.055351654,-0.063507666,-0.278188254,-0.002211068,-0.05453118,2.02565189,-1.626431778,1.33744606,1.669151464
0.037732017,-0.110002744,0.168022253,-0.053802336,-0.010203224,0.032485768,0.013441584,-0.054625762,2.02565189,-1.626431778,1.028729866,1.155678262
0.059369703,-0.087052574,0.189577704,-0.058002629,-0.042720292,0.261047701,-0.02335526,-0.044399277,1.649809819,-1.626431778,1.271843869,0.683768572
0.132917416,0.012055299,0.040836367,-0.037919998,-0.039136547,-0.18101509,-0.028214648,0.035831834,1.884711113,-1.773087783,2.186415592,0.213647694
0.121773161,0.018042997,0.014871309,-0.031607076,-0.015654153,0.072103337,-0.04578052,0.039087697,1.649809819,-2.783384707,2.225005116,0.707805816
0.151242228,-0.016061554,0.130461491,-0.052253451,-0.003841449,0.051314016,0.001568276,0.011298122,-0.205910405,-0.730200635,0.488476528,1.267818899
0.15108802,-0.01598064,0.130256293,-0.052168677,-0.003850184,0.051307611,0.001503803,0.011236144,0.734164574,-0.371708178,0.515489195,0.953965798
-0.105811782,0.084333199,0.009865141,0.032638476,-0.086291813,-0.029204122,0.191658191,-0.028568988,-0.793163641,1.469639443,-0.5148511,-1.026314848
-0.093221027,0.066957912,0.070796923,0.02710495,-0.10245948,0.000585151,0.1988177,-0.064268263,-0.440341897,1.094851874,-0.669209197,-1.107750273
-0.126609265,0.066628685,0.095752344,0.039189894,-0.040298815,-0.051447658,0.209903864,-0.092563235,-0.205440603,1.094851874,-0.696221864,-0.620919709
-0.04721918,0.042995453,0.072830657,0.012374665,0.025894358,0.149312163,0.101149941,-0.050074789,-0.440341897,0.752654529,-0.476261576,-0.585707196
0.063934079,0.049744786,-0.075753276,-0.060789769,-0.016418175,-0.3529262,0.084642126,0.029088989,-0.087989956,0.67117897,-0.05177681,0.829952459
0.075134928,0.052390172,-0.071491853,-0.062528253,-0.02280927,-0.158729303,0.070858929,0.039917283,-0.205440603,0.18232562,0.067850715,0.447831941
0.051609051,0.04800896,-0.086531213,-0.05873244,-0.001092094,0.129482311,0.093281955,0.019180052,1.086046713,0.345276737,-0.155968526,-1.149116684
0.032777342,0.097923318,-0.049148092,-0.048977181,0.171888217,0.175345045,-0.019065939,0.051826737,-0.32289125,0.345276737,-0.206134907,-0.062658897
-0.035767174,0.024069264,-0.124827933,0.020630128,-0.056719312,0.191723004,0.041396685,0.04315523,-0.32289125,1.225212768,-0.159827478,-0.933063951
-0.04304004,-0.044638297,-0.025040018,0.014726998,0.06906849,0.055722627,0.027345491,0.000185893,-0.675243191,1.225212768,-0.101943192,0.109254674
-0.00560127,0.054391416,0.095988433,0.17669992,0.054296815,0.023170366,0.191979912,-0.073625664,-1.154441832,0.752654529,-0.796554627,0.407587229
-0.003358609,0.05567452,0.10039246,0.172238208,0.038306953,0.008344623,0.20885513,-0.07444171,-1.060011511,0.5734083,-0.796554627,-1.017472933
0.028245354,0.087141938,0.148125356,0.14706088,-0.012772031,0.103696706,0.151678045,-0.065676894,-0.966520796,0.5734083,-0.703939769,0.202653069
0.038494524,0.091233244,0.147405131,0.138866284,-0.011085992,-0.076177648,0.153190515,-0.068269814,-0.966520796,0.166030508,-0.437672052,0.56785511
-0.050237595,-0.007551924,-0.104370042,0.020369508,0.075992551,-0.110615791,0.020319365,0.029208399,0.146911339,1.33927855,-0.360493004,-0.86027156
-0.050593758,-0.007544213,-0.104664068,0.020386023,0.075373512,-0.109435091,0.020581507,0.029149981,-0.322421447,1.33927855,-0.360493004,-0.240670066
-0.044650947,-0.044573277,-0.026430937,0.014808939,0.066309268,0.060862428,0.02852138,-3.98E-05,-0.792693838,1.33927855,-0.437672052,-0.532003535
-0.056096469,-0.006162937,0.090297407,0.024977386,0.028924689,0.005254529,-0.137307005,0.020549164,-1.14504578,1.062261651,-0.360493004,-0.801311815
0.052268864,-0.047980148,0.072940457,-0.007327787,-0.15564168,-0.055694043,-0.024174663,-0.017559464,1.344438137,-0.078396167,0.924538151,1.596140808
0.024720691,-0.114456524,0.113739155,-0.008021417,0.079782515,-0.021124346,-0.064206224,-0.044576549,2.02565189,-0.290232619,1.0017172,-0.193624425
0.024846626,-0.1144745,0.11384384,-0.00804317,0.079729663,-0.021003967,-0.064326328,-0.044603202,1.790750596,-0.290232619,1.171511106,0.433007451
0.038654755,-0.082251658,0.092404509,-0.007622643,-0.053474969,0.281460257,-0.042311061,-0.030544897,1.344438137,0.068259838,1.059601486,0.583402139
0.052147142,-0.047917096,0.072790812,-0.007305943,-0.155765583,-0.055790651,-0.024022072,-0.017521333,1.462358586,-0.078396167,0.74702634,1.442108052
0.064966994,0.047258773,-0.180225997,0.008199262,-0.085704478,-0.000927725,-0.064753232,0.105422999,0.170401468,1.013376316,0.349554241,-1.585705924
-0.04837587,0.041787027,0.050198615,0.01442479,0.273087246,0.087315163,0.006093398,-0.006130073,-0.064499826,1.062261651,-0.202275955,-0.032830481
-0.055528704,0.042305997,0.071938684,0.022461697,0.184804509,-0.046154578,-0.1137147,0.029482287,-0.298931318,1.062261651,-0.237006526,-0.671874648
-0.035663179,-0.076213646,0.060960755,0.008712491,0.022453111,0.017492242,0.020416109,-0.026765268,-0.557792544,1.062261651,-0.283313955,-0.444559039
-0.035301518,-0.076782025,0.061682051,0.008566376,0.022253207,0.018738757,0.019753262,-0.026913809,0.992086195,1.029671427,-0.260160241,0.152927679
-0.033298633,-0.075800987,0.062650719,0.008696449,0.027118672,0.007523383,0.019051129,-0.02631488,0.264361986,1.078556763,0.15660662,-0.30484657
-0.033636017,-0.077043748,0.063254561,0.008422811,0.024688915,0.014253838,0.018379671,-0.02680454,0.851145419,-0.013215721,0.349554241,-0.103344703
-0.02489136,-0.029056571,-0.003353789,0.012110511,-0.089461893,-0.383467027,0.047861096,-0.000515803,0.146911339,1.078556763,0.083286524,0.297524004
0.019252621,-0.001650384,-0.004383195,-0.091765499,-0.055099166,-0.02849241,-0.002215196,0.0176035,-1.027595133,0.328981625,-0.78497777,1.048687221
0.019626065,0.007187906,0.018779587,-0.082363895,-0.040155827,-0.005911859,0.057958382,-0.002264651,-0.557792544,0.328981625,-0.746388245,-0.116319872
0.019334612,0.017350916,0.042525885,-0.072891694,-0.018772275,0.057044748,0.113089512,-0.023043447,-0.32289125,0.198620731,-0.78497777,-0.363576701
0.019328833,0.016954968,0.042086525,-0.072973871,-0.018742082,0.056684059,0.113016207,-0.022654038,-0.792224036,0.068259838,-0.78497777,0.125484327
0.115969589,-0.063858371,-0.095861538,0.030996791,0.094356093,0.010825075,0.108784717,-0.043339078,-0.746183382,-0.713905523,-0.746388245,-0.286015274
0.116070785,-0.064079855,-0.095468031,0.031286552,0.094358103,0.011295085,0.108947803,-0.04338344,-0.392891836,-0.713905523,-0.746388245,0.186721229
0.136273313,-0.151933586,-0.08184801,0.070533701,-0.020127621,0.006543257,0.110164698,0.003841431,-0.510342483,-0.567249518,-0.823567294,0.025623853
0.136341164,-0.152248526,-0.081374671,0.070903713,-0.019955643,0.005870001,0.109988972,0.003850144,-0.74571358,-0.567249518,-0.823567294,1.707503072
0.116239463,-0.08247487,-0.046220992,0.089744123,-0.012394374,-0.008413478,-0.049427081,0.05046189,-0.980145071,-0.844266417,-0.746388245,-0.17219551
0.116048398,-0.082554882,-0.045569502,0.090116366,-0.012070029,-0.009586058,-0.050297396,0.050480395,-0.862694424,-0.844266417,-0.746388245,0.935721279
0.116063533,-0.082851536,-0.045862437,0.090056158,-0.012016578,-0.009993252,-0.050232877,0.050507324,-0.863164227,-0.844266417,-0.746388245,-0.175534203
0.071103654,-0.050380163,0.068346466,0.136974249,-0.099155261,-0.088842145,-0.125209686,0.038925283,-0.745243777,-0.127281502,-0.823567294,-0.101992184
0.085298038,-0.072464067,-0.009368133,0.118561012,-0.061633541,0.077806419,-0.116630107,0.081159098,-0.393361638,-0.713905523,-0.823567294,-0.334764873
0.033120001,0.125731903,0.071972807,-0.030362017,-0.060210803,-0.001420897,-0.082341241,-0.027500354,-0.74571358,0.198620731,-0.78497777,-2.120762185
0.032590465,0.126078858,0.072140934,-0.031028436,-0.060280785,-0.002373271,-0.082840141,-0.027683565,-0.745243777,0.198620731,-0.750247198,1.098471836
0.032660457,0.126337755,0.072444143,-0.030782021,-0.060209526,-0.001842058,-0.082893699,-0.027789483,-0.863164227,0.08455495,-0.746388245,-1.123615489
-0.108995237,0.2112876,0.038755591,0.150437963,-0.022497476,-0.023117287,-0.286548731,0.099484772,-0.702961544,0.557113189,-0.862156818,-1.900445731
-0.123390188,0.204116035,0.088090886,0.163513319,0.039226435,0.018520575,-0.267644805,0.077606617,-0.796922062,0.736359417,-0.823567294,-0.07940351
0.019753967,-0.13808751,-0.019937479,0.184179367,0.05241199,-0.003584484,-0.074312447,0.04145296,0.546243539,-0.192461949,-0.823567294,0.194931746
0.019302651,-0.137602566,-0.019481672,0.18435806,0.052387224,-0.00331951,-0.074698545,0.041506546,-0.863164227,-0.062101056,-0.839003104,-0.232881841
0.018879023,-0.137602966,-0.019589788,0.184191578,0.052114985,-0.003883098,-0.075090108,0.041566115,-0.74571358,0.003079391,-0.823567294,-0.69542642
-0.001627653,-0.115895352,0.025414309,0.18094349,-0.022764589,-0.062926004,-0.137430213,0.064674755,-0.745243777,-0.176166837,-0.842862056,-1.639199107
0.022571941,-0.076694349,-0.163240995,-0.099662686,0.045479589,0.065230395,0.013152002,0.083184451,-0.299870923,-0.453183736,-0.746388245,1.35827287
0.02241027,-0.076768389,-0.163157221,-0.099701437,0.045527916,0.064790486,0.013286291,0.08325705,-1.12155565,-0.453183736,-0.750247198,-0.447932142
0.029159398,-0.085629741,-0.147561984,-0.092206648,0.00574879,-0.171270036,-0.022433447,0.093572633,-0.886184553,-0.860561528,-0.746388245,0.745703019
-0.013069636,-0.068379205,-0.117573063,-0.037280649,-0.000806377,-0.011686619,0.043918362,0.012544486,1.720280207,-1.023512645,0.87437177,1.241582058
-0.00301414,-0.059045909,-0.112732406,-0.03657543,0.051475397,0.02427004,0.047231555,0.017034414,0.07644095,-1.414595326,0.920679199,1.234636246
-0.044668071,-0.004258402,-0.086312068,-0.021302644,-0.043197934,0.012353506,-0.119324895,0.053967256,-0.041009697,-0.045805944,0.334118431,0.20945032
-0.044478751,-0.004305698,-0.086471597,-0.021392762,-0.04319291,0.012065719,-0.119103193,0.053966658,-0.510812285,-0.045805944,0.357272146,0.982607522
-0.033523251,-0.038919146,-0.107276176,-0.02993679,-0.059166261,-0.036126537,-0.042588752,0.033243106,0.663694186,-0.159871726,0.480758623,-0.481857045
-0.023967021,-0.074518454,-0.116389258,-0.037731501,-0.050468233,0.026346487,0.039047893,0.006734927,0.193891597,-0.159871726,0.565655576,0.76601136
-0.044933676,-0.004449202,-0.085990791,-0.021163287,-0.043545551,0.01403141,-0.119678351,0.053925838,0.310872442,-0.045805944,0.334118431,-0.050506818
0.121196099,0.070099259,0.043265605,0.013731175,0.105857476,-0.050605239,-0.000849398,0.013943634,1.485378913,-1.26793932,1.264125964,2.2861466
0.121081517,0.069565598,0.043782096,0.01375163,0.106578066,-0.050718393,-0.001124456,0.013806007,1.368398069,-1.26793932,1.43391987,2.023460406
0.120554762,0.06769155,0.045381327,0.013825638,0.108978416,-0.050933114,-0.002019826,0.013352065,1.837730855,-1.544956219,1.80052035,2.265543556
0.120688171,0.068153058,0.044987847,0.013819502,0.108446014,-0.050820913,-0.001782468,0.013512342,1.485378913,-1.544956219,1.723341302,2.11471515
0.119723076,0.056103129,0.020172766,0.011961016,0.131242277,0.013521081,0.010631885,0.017321804,1.72075001,-1.398300214,1.970314256,2.050360275
0.118391599,0.044044036,-0.007258781,0.010030911,0.131519443,-0.017582406,0.022990469,0.020505778,1.955181502,-1.756792671,1.985750066,0.481601629
0.120939337,0.069527509,0.043555556,0.013820676,0.106783716,-0.050182196,-0.000966338,0.014092753,1.720280207,-0.958332198,1.183087963,0.124531756
0.120936729,0.069705085,0.043309037,0.013823468,0.106541414,-0.0500374,-0.000837849,0.014184245,1.367928266,-1.561251331,1.426201965,1.281327764
-0.207031746,0.068432844,-0.077436605,0.102327481,0.133725559,-0.013117352,0.044017654,0.026665854,-0.327589276,2.202919469,-0.78497777,-0.51247267
-0.212386364,0.072331777,-0.040485772,0.104013866,-0.112732797,0.012587329,0.125610527,0.005880591,-0.233628758,1.958492794,-0.78497777,0.624613743
-0.206731473,0.080264642,-0.082806032,0.104357822,-0.14699433,0.010323738,0.107493687,0.033951878,-0.421549793,1.958492794,-0.78497777,0.792146644
0.145198256,0.225740361,-0.136498473,0.005177866,0.071960698,0.147328216,0.051927878,0.06084897,0.893427652,1.306688326,0.168183477,-2.454531128
0.157278853,0.202697698,-0.082015542,0.004816576,-0.257546616,-0.126120701,0.062900101,0.048240736,-0.233628758,1.013376316,0.256939383,-0.666422352
0.155700168,0.188234437,-0.09029199,0.006132775,-0.337782449,0.114264215,0.07637365,0.051685317,-0.534302415,1.013376316,0.233785668,-1.883725456
-0.028087241,0.1964552,-0.032744681,0.004977723,0.22333612,-0.195566906,0.104714249,-0.017013733,0.029460691,1.502229666,-0.669209197,0.339581889
-0.028317105,0.209779302,-0.054981729,-0.003658067,0.199721092,0.026476277,0.134231916,-0.033610897,-0.252890664,1.502229666,-0.669209197,-0.311170234
-0.085330606,0.148262309,0.149450581,-0.128974098,-0.06484304,0.013225199,-0.113024857,-0.071278606,-1.379477271,0.231210955,-0.669209197,-0.305100154
-0.0854177,0.148298629,0.149583966,-0.129085196,-0.0649204,0.013315358,-0.113004403,-0.071198785,-1.191556236,0.231210955,-0.707798721,-2.018856046
0.014507304,-0.008134765,-0.175204453,-0.003639306,-0.018694822,0.010929771,-0.133760421,-0.490145839,-1.004105003,1.355573661,-0.707798721,-1.308905593
0.005842515,-0.036173369,-0.178066766,-0.007793189,-0.022822988,-0.007396112,-0.121566876,-0.508871074,-1.285986556,1.355573661,-0.707798721,-0.845150983
0.014507285,-0.008134532,-0.175202849,-0.00363929,-0.018694475,0.010930527,-0.133759093,-0.490140636,-0.72222345,1.355573661,-0.707798721,-1.348071
