PCNM5,PCNM20,PCNM29,PCNM24,PCNM19,SAND,TEMP,fdiv
-0.060511407,-0.0475014,-0.062612478,-0.163089893,-0.063275185,-0.102084033,0.289282637,1.119549217
-0.058424649,0.025558128,0.020510768,0.010968068,0.019228065,-0.384435389,-0.070021959,-0.92317721
-0.058847505,0.025196203,0.020271147,0.009370591,0.018548611,0.085837002,0.01980419,-1.347928634
-0.058910886,0.024975896,0.020243505,0.009378565,0.01867663,-0.571886622,0.109630339,0.014713699
-0.124810003,-0.058096061,0.02174563,-0.009220827,-0.019257523,-0.665847139,0.648587233,0.472604282
-0.124825951,-0.058078175,0.021869353,-0.009277009,-0.019322537,-0.684639243,0.648587233,-0.06629978
-0.125011349,-0.055262733,0.020386568,-0.010337991,-0.021065181,-0.496248405,0.648587233,-0.328519955
-0.116486281,0.001440707,-0.028318713,0.004892354,0.038248793,-0.684639243,0.738413382,-0.106984683
-0.116414777,0.001234042,-0.027805994,0.004908576,0.038505884,-0.966520796,0.648587233,0.239711155
-0.116325452,0.000513741,-0.028046517,0.005422227,0.039223408,-1.153972029,0.648587233,-0.254681375
-0.116208861,0.000164592,-0.027419475,0.005499789,0.039633146,-0.590678725,0.648587233,0.609960209
-0.100732081,0.050279723,-0.187990468,0.003243479,-0.028131093,-0.590678725,0.109630339,-0.136577481
-0.100998973,0.049843298,-0.188281687,0.003224287,-0.027832986,-0.121345939,0.199456488,0.548827506
-0.100226055,0.051023001,-0.187402677,0.003268551,-0.028626062,-1.26672465,0.109630339,-1.662693939
-0.100192383,0.047842118,0.541742912,0.025576695,-0.022803357,-1.173233935,0.648587233,-1.926410998
-0.113474585,-0.027842693,0.010990991,0.012476033,0.033066099,-0.741015554,0.648587233,-1.251672926
-0.115665879,0.114747696,-0.042261719,0.18151468,-0.309298371,-0.881486528,0.648587233,-1.385408596
-0.113547167,-0.027674779,0.010911556,0.012707183,0.032980923,-1.022897107,0.648587233,-1.014803078
-0.113623764,-0.027565891,0.010887874,0.01291295,0.032910518,-0.928936589,0.648587233,1.553762234
-0.114239662,-0.048307865,0.019039172,0.020946053,0.172699943,-0.966520796,0.648587233,-0.023926388
-0.114090211,-0.048389805,0.019050404,0.02103008,0.173070543,-0.590678725,0.648587233,0.166383515
-0.11412595,-0.047946587,0.018748554,0.021261379,0.172391814,-0.590678725,0.648587233,-0.848545502
-0.051099998,0.135867667,-0.000114155,0.053128153,-0.060986805,-0.393361638,0.379108786,-0.125934129
-0.051367143,0.13588845,-1.83E-05,0.05294044,-0.061039486,-0.393361638,0.379108786,-0.853542417
-0.045676297,-0.035256771,0.029774306,0.003494522,-0.035878401,0.193421795,0.289282637,-0.703256981
-0.045921794,-0.035966635,0.029991916,0.003153598,-0.035827542,-0.862694424,0.199456488,-1.075613428
0.151556242,-0.014763232,0.027084186,-0.00793084,0.025119616,1.720280207,-1.956371088,1.868101606
0.151484992,-0.014623127,0.026962814,-0.008204012,0.025374756,1.72075001,-1.956371088,1.251175809
0.106150743,0.040068751,0.076829344,0.03789239,-0.120572004,1.838200657,-4.56132941,0.85837145
0.088522915,-0.121127723,-0.011817969,0.097553098,-0.048932786,1.696790078,-4.022372516,2.047574364
0.088442389,-0.121161826,-0.011773979,0.097944879,-0.048846994,1.814240725,-4.022372516,1.597170079
0.015716771,-0.016336683,0.018674602,0.061264317,-0.082668952,1.462358586,-0.339500406,1.731849843
-0.004358223,0.180145007,-0.002619118,-0.03096542,0.036674233,0.522753409,-0.070021959,-0.692333818
0.0153413,-0.016114531,0.018527205,0.060934031,-0.082681371,0.639734254,-0.249674257,0.378186471
0.023974599,-0.025080964,-0.001678544,0.025903495,0.106237989,1.696790078,-0.519152704,1.531312317
0.037544193,-0.21851267,-0.021220613,-0.081445238,-0.111144297,1.086046713,-0.698805002,1.356098027
0.045388591,0.085009155,0.031696866,0.012396948,-0.010747616,2.02565189,-1.058109598,0.957453758
0.037732017,-0.219066293,-0.021101324,-0.081226806,-0.111238001,2.02565189,-1.058109598,1.151049839
0.059369703,0.283383817,-0.026582141,0.006312344,0.127668319,1.649809819,-1.058109598,-0.662451784
0.132917416,0.125121916,-0.045780585,-0.078807325,0.05282178,1.884711113,-2.315675684,0.292174157
0.121773161,-0.205982054,-0.050608932,-0.011349099,-0.111303498,1.649809819,-1.866544939,0.32191792
0.151242228,-0.011548092,0.027092392,-0.009028447,0.028456815,-0.205910405,-0.249674257,0.710089196
0.15108802,-0.011546469,0.026872358,-0.009323592,0.028553791,0.734164574,-0.249674257,-0.051796404
-0.105811782,-0.146020317,-0.0281163,-0.068922452,0.066435198,-0.793163641,0.558761084,-0.056062837
-0.093221027,-0.079003403,-0.031590844,0.132170204,0.037605435,-0.440341897,0.738413382,0.323509357
-0.126609265,0.198976077,-0.022079901,-0.202022545,0.109592844,-0.205440603,0.738413382,-1.072891532
-0.04721918,-0.019785875,0.06540955,0.076728285,0.050857607,-0.440341897,0.558761084,-1.189243288
0.063934079,0.177243471,0.029310203,-0.079576141,0.110600778,-0.087989956,0.199456488,-0.200680477
0.075134928,0.028457389,-0.045786256,-0.090370841,0.033257688,-0.205440603,0.01980419,1.179761692
0.051609051,0.087114866,0.096607725,-0.005916911,0.073978459,1.086046713,0.289282637,0.61682346
0.032777342,0.067332317,-0.038489196,0.230631348,0.117494559,-0.32289125,0.289282637,0.888277055
-0.035767174,0.103430668,0.009821779,0.068008945,0.013139955,-0.32289125,0.289282637,-0.368503619
-0.04304004,-0.212165526,-0.017343531,-0.049350138,-0.0716128,-0.675243191,0.289282637,1.524810398
-0.00560127,-0.096895923,-0.025801916,0.039887494,0.060597707,-1.154441832,0.738413382,0.0735914
-0.003358609,-0.087677868,0.096759872,0.094876336,0.036027103,-1.060011511,0.738413382,1.036557589
0.028245354,0.026136781,-0.045242696,0.030886232,-0.074175032,-0.966520796,0.738413382,1.714891334
0.038494524,-0.055807924,0.017805044,-0.137037942,0.137716343,-0.966520796,0.738413382,-0.105625024
-0.050237595,0.103410225,0.045690228,0.102034216,0.080871177,0.146911339,0.468934935,0.142478685
-0.050593758,0.103800414,0.045568537,0.101644157,0.080435757,-0.322421447,0.468934935,0.299361924
-0.044650947,-0.210147622,-0.017820842,-0.050957357,-0.073429304,-0.792693838,0.468934935,-0.933236937
-0.056096469,0.016126103,0.02715442,-0.153515527,-0.014498461,-1.14504578,0.468934935,-0.578553978
0.052268864,0.013476286,0.001237714,-0.031499641,0.014738689,1.344438137,-0.519152704,0.858113637
0.024720691,-0.02570547,-0.00169211,0.026349942,0.106668639,2.02565189,-0.698805002,-0.828074303
0.024846626,-0.025691939,-0.001851827,0.02604838,0.106756403,1.790750596,-0.698805002,1.961203009
0.038654755,-0.025251401,-0.037563314,-0.00757319,0.03779167,1.344438137,-0.698805002,0.806670128
0.052147142,0.01350455,0.00138993,-0.031253516,0.014575899,1.462358586,-0.519152704,1.55960581
0.064966994,-0.237859653,0.019955118,-0.053360094,0.036421165,0.170401468,-0.159848108,-1.055556904
-0.04837587,-0.000495913,0.002145828,0.038533274,-0.244447145,-0.064499826,0.289282637,-1.698864575
-0.055528704,0.031283352,-0.020612874,0.213973106,0.02914264,-0.298931318,0.468934935,-0.200302758
-0.035663179,0.05410918,-0.010775208,-0.035760912,0.007538203,-0.557792544,0.468934935,-1.532646117
-0.035301518,0.053936824,-0.011015361,-0.036383256,0.008270313,0.992086195,0.289282637,-0.257938016
-0.033298633,0.051239422,-0.009781303,-0.032513494,0.009940705,0.264361986,-0.070021959,0.628978405
-0.033636017,0.052161021,-0.010690859,-0.035117752,0.01027338,0.851145419,-0.070021959,0.513453993
-0.02489136,-0.151012955,-0.006078727,-0.072409583,-0.147122749,0.146911339,0.109630339,-0.513787479
0.019252621,0.074582859,-0.062659605,-0.031222687,-0.058824741,-1.027595133,0.648587233,-0.068167526
0.019626065,0.011733936,0.081853176,0.058369493,-0.033799835,-0.557792544,0.648587233,-1.123272201
0.019334612,-0.057367559,0.044280594,0.095259205,0.00784037,-0.32289125,0.648587233,-0.92779804
0.019328833,-0.057546034,0.043995446,0.095466731,0.00792734,-0.792224036,0.648587233,-0.834247894
0.115969589,0.111889948,0.003967921,0.021032614,-0.065793804,-0.746183382,0.558761084,-0.937973436
0.116070785,0.112299052,0.003952016,0.020613899,-0.066303505,-0.392891836,0.558761084,-0.0331883
0.136273313,0.030590004,-0.028881803,0.03974988,-0.054311138,-0.510342483,0.558761084,-0.326614509
0.136341164,0.030979411,-0.029128164,0.038400474,-0.055051019,-0.74571358,0.558761084,0.487832763
0.116239463,-0.006190485,0.008589573,-0.0884682,-0.079904705,-0.980145071,0.558761084,-2.000292881
0.116048398,-0.005646273,0.008153769,-0.090723202,-0.081035131,-0.862694424,0.558761084,-0.414056037
0.116063533,-0.005373184,0.007847543,-0.090731472,-0.081248863,-0.863164227,0.558761084,-1.480002396
0.071103654,0.167004328,-0.08749635,0.278073796,-0.111880142,-0.745243777,0.558761084,0.556114996
0.085298038,-0.110730037,0.094044076,-0.036536723,0.280043422,-0.393361638,0.558761084,-0.620639112
0.033120001,0.026849,-0.011407583,0.006011893,0.028304111,-0.74571358,0.648587233,0.106854822
0.032590465,0.027574583,-0.012174229,0.005310867,0.028373162,-0.745243777,0.648587233,-0.558349742
0.032660457,0.027321312,-0.011618427,0.005095685,0.028202749,-0.863164227,0.648587233,-0.150419861
-0.108995237,-0.058566291,-0.071319238,0.001268059,0.277672338,-0.702961544,0.738413382,1.589487438
-0.123390188,0.005391327,0.096593693,-0.127500901,-0.308426861,-0.796922062,0.738413382,-0.849900595
0.019753967,0.072731976,-0.010334159,-0.070860254,-0.076705075,0.546243539,0.558761084,-0.522696307
0.019302651,0.071615534,-0.009787782,-0.070495818,-0.075477059,-0.863164227,0.558761084,-0.659705539
0.018879023,0.0710046,-0.009849355,-0.069787991,-0.074559881,-0.74571358,0.558761084,-1.12202827
-0.001627653,-0.090750017,-0.021388919,-0.107889019,0.017675679,-0.745243777,0.558761084,-1.464667361
0.022571941,-0.135680561,0.039901394,-0.078813184,0.129342852,-0.299870923,0.558761084,0.108155804
0.02241027,-0.135898307,0.039515867,-0.078484114,0.129353564,-1.12155565,0.558761084,-0.139564289
0.029159398,-0.015117893,-0.090579626,0.180808065,0.051484594,-0.886184553,0.558761084,-0.854070071
-0.013069636,0.075964304,-0.02492708,-0.125524388,0.015321204,1.720280207,-0.698805002,0.630110956
-0.00301414,0.113603613,0.012562458,-0.265957222,0.038329888,0.07644095,-0.698805002,0.928280045
-0.044668071,-0.037853862,0.030120893,0.006465485,-0.035599739,-0.041009697,-0.159848108,0.05628062
-0.044478751,-0.037677767,0.030024982,0.006816666,-0.035602691,-0.510812285,-0.159848108,0.979571162
-0.033523251,-0.041588311,-0.113976897,0.126182327,0.17724673,0.663694186,-0.159848108,0.637988037
-0.023967021,0.000463884,-0.00740109,0.125071211,-0.014911553,0.193891597,-0.339500406,0.740745673
-0.044933676,-0.038351316,0.030294262,0.006017743,-0.035568292,0.310872442,0.109630339,0.30964013
0.121196099,-0.027659009,0.005111633,0.096364816,0.006205036,1.485378913,-1.147935747,0.27624826
0.121081517,-0.027922044,0.00531206,0.096623113,0.006315912,1.368398069,-1.597066492,0.972380041
0.120554762,-0.028766524,0.00600336,0.097489364,0.00630412,1.837730855,-1.956371088,1.463985375
0.120688171,-0.02857361,0.005892282,0.097347345,0.006161668,1.485378913,-1.686892641,1.539960288
0.119723076,0.052303455,0.025125088,-0.150099642,0.033072719,1.72075001,-2.046197237,-0.743026991
0.118391599,0.107191215,-0.011992336,-0.26824254,0.043848494,1.955181502,-1.77671879,-1.636021308
0.120939337,-0.027923638,0.005628419,0.096973826,0.005047552,1.720280207,-1.237761896,0.571079688
0.120936729,-0.027819452,0.005600596,0.096925753,0.004764319,1.367928266,-1.237761896,0.602615494
-0.207031746,0.144648938,-0.017437414,-0.162717091,0.006769178,-0.327589276,0.828239532,-0.118972122
-0.212386364,0.064876337,-0.009263743,0.073995599,-0.082064185,-0.233628758,0.828239532,-0.605242511
-0.206731473,-0.105960378,0.02040118,0.02388616,-0.057618507,-0.421549793,0.828239532,1.524355956
0.145198256,0.058106589,-0.034154508,-0.081724497,0.06081501,0.893427652,-0.070021959,1.220014928
0.157278853,0.054053264,0.025863126,-0.026239708,-0.033054012,-0.233628758,-0.159848108,-0.005484891
0.155700168,0.00150024,-0.02418871,-0.037478895,-0.099547039,-0.534302415,-0.159848108,1.036225517
-0.028087241,-0.046453333,0.006893151,0.164757741,-0.055429868,0.029460691,0.738413382,0.424644358
-0.028317105,-0.102741315,-0.055807372,-0.187124316,-0.119082348,-0.252890664,0.738413382,-0.767552342
-0.085330606,0.075325107,0.022515361,-0.058751161,-0.111567379,-1.379477271,0.738413382,-1.888672548
-0.0854177,0.075202394,0.022579226,-0.058577133,-0.111504014,-1.191556236,0.738413382,-2.153835363
0.014507304,-0.037942974,-0.319351679,5.84E-05,0.023384186,-1.004105003,0.738413382,-0.775502264
0.005842515,-0.003532166,0.488910605,0.023912515,0.007626754,-1.285986556,0.738413382,-2.145618392
0.014507285,-0.037942877,-0.319379629,5.75E-05,0.023383984,-0.72222345,0.738413382,0.293413574
