PCNM7,PCNM48,PCNM29,PCNM3,PCNM15,PCNM34,pH,PREC,PRECDRIEST,rao
0.123417465,-0.026950254,-0.062612478,-0.142599927,0.157713224,-0.041093706,0.347593337,0.071617362,-0.254414923,-0.031447785
0.088007126,-0.192808842,0.020510768,-0.142646304,0.130512702,-0.014611156,-0.437427774,1.082592345,0.203676219,-0.275288812
0.088067425,0.135894734,0.020271147,-0.142666635,0.130111326,-0.014183631,2.964330373,0.678202352,0.020439762,-0.391556902
0.087994056,0.079832474,0.020243505,-0.142723533,0.130280168,-0.014375887,3.48767778,0.364800107,0.020439762,-1.642154505
-0.075530553,-0.201714023,0.02174563,-0.157560345,0.169966695,-0.004455103,-0.17575407,-1.084264036,-1.873003627,-1.465137126
-0.07545406,-0.158650744,0.021869353,-0.15759371,0.170018939,-0.004394968,0.085919633,-1.084264036,-1.842464218,-0.712146887
-0.076331617,0.364213155,0.020386568,-0.157209162,0.167783239,-0.002103232,-0.960775181,-1.202211118,-1.811924808,-0.332933153
-0.009912774,-0.314839134,-0.028318713,-0.162945734,-0.103486666,-0.011351801,-0.17575407,-1.438105281,-1.68976717,-2.32944697
-0.009217774,0.059876874,-0.027805994,-0.163075527,-0.103854003,-0.011551522,-0.437427774,-1.333637866,-1.628688351,0.625548194
-0.009377874,-0.106418804,-0.028046517,-0.163041395,-0.103642161,-0.012359588,-0.17575407,-1.26960945,-1.68976717,0.871378997
-0.008499298,0.357086901,-0.027419475,-0.163187189,-0.104078177,-0.012709228,-0.17575407,-1.26960945,-1.628688351,0.634952037
-0.161027459,0.005816308,-0.187990468,-0.080223701,-0.048145818,0.022606878,1.132614448,-0.369841715,-1.231676027,-1.435109928
-0.161167767,0.115045468,-0.188281687,-0.08043906,-0.048088652,0.022132793,1.132614448,-0.379951464,-1.231676027,-0.960249363
-0.160713171,-0.121305177,-0.187402677,-0.079821342,-0.048250414,0.023409275,1.132614448,-0.369841715,-1.231676027,-1.550059894
-0.167047733,5.27E-09,0.541742912,-0.080600928,-0.050496322,-0.010724528,0.085919633,-2.068279687,-2.086779494,-1.195472763
-0.061874443,-0.049841043,0.010990991,0.129384334,-0.084902816,0.039278626,4.272698891,0.364800107,0.356373267,-1.394156517
-0.021370273,1.90E-05,-0.042261719,0.152671469,-0.033965863,-0.280871476,3.226004076,0.206414026,0.356373267,-1.184579552
-0.061688556,-0.000596148,0.010911556,0.129295136,-0.085131579,0.03883081,2.440982966,0.364800107,0.356373267,1.475483605
-0.061518268,0.058882647,0.010887874,0.129236211,-0.08534478,0.038543444,4.796046298,0.385019607,0.386912676,-0.497565578
0.017855368,0.058085693,0.019039172,0.174923597,0.044902013,0.043528701,-0.699101477,0.132275861,0.234215629,0.830985031
0.017706968,0.003117476,0.019050404,0.175000705,0.045210164,0.044675413,-0.699101477,-0.076658969,0.081518581,0.830249296
0.017446016,-0.061320278,0.018748554,0.174713185,0.044551337,0.044002198,-0.437427774,-0.076658969,0.264755038,1.007059374
-0.007631778,-0.025618717,-0.000114155,-0.02134474,0.096028591,0.094921998,0.426095448,0.492856938,0.845003819,0.036212717
-0.00796082,-0.059471563,-1.83E-05,-0.021221289,0.096900938,0.095925416,-0.411260403,0.492856938,0.875543228,0.148491598
-0.000384447,0.066829193,0.029774306,-0.020842521,0.008355486,0.033367323,-0.934607811,0.543405687,0.936622047,0.576244175
-0.000817128,0.027713027,0.029991916,-0.020710587,0.008926316,0.034233849,-0.097251959,0.748970601,0.936622047,0.859572224
-0.016459625,-0.004446788,0.027084186,-0.052385502,-0.016435818,-0.010069277,0.661601781,1.271307676,0.203676219,-0.631166793
-0.016386071,0.001818456,0.026962814,-0.052336044,-0.016082945,-0.009217915,0.923275485,1.271307676,0.203676219,0.373012797
0.010655295,8.93E-05,0.076829344,-0.067560794,-0.047271061,-0.219261419,-0.201921441,-3.844225742,-2.880804141,0.813014723
0.036097275,0.00632432,-0.011817969,-0.064517058,0.017447024,-0.004431286,0.007417522,-2.189596685,-1.72030658,-0.082066069
0.036259139,-0.006313213,-0.011773979,-0.064551502,0.017389681,-0.004233246,0.112087004,-2.189596685,-1.72030658,0.187706939
-0.021691217,-0.005513103,0.018674602,0.003554354,0.063904895,-0.040904244,0.059752263,0.701791768,0.875543228,-1.351480576
0.096917499,-0.000433356,-0.002619118,0.020685151,0.028451176,0.152818756,-0.568264626,0.56025527,0.814464409,1.01863075
-0.022089072,-0.001650864,0.018527205,0.003525277,0.063952934,-0.039959062,-0.672934107,0.759080351,0.906082638,1.374200712
-0.114865005,-0.053186957,-0.001678544,-0.008047579,0.029263268,0.033203103,0.295258596,0.846698183,0.936622047,-0.30297491
-0.10945828,-0.012612172,-0.021220613,-0.053803687,-0.087280605,0.013199953,-0.594431996,1.584709921,1.150397914,0.622809569
-0.09468304,1.28E-06,0.031696866,-0.055351654,-0.035458996,-0.026902041,-0.17575407,1.547640838,1.150397914,1.358398653
-0.110002744,0.012615237,-0.021101324,-0.053802336,-0.087263322,0.012106901,0.085919633,1.547640838,1.150397914,0.432643527
-0.087052574,-2.15E-06,-0.026582141,-0.058002629,0.088781364,0.001314683,0.164421744,1.547640838,1.150397914,1.058036105
0.012055299,-8.50E-06,-0.045780585,-0.037919998,0.229297501,-0.004797024,0.687769152,1.719506585,0.050979172,-2.336626338
0.018042997,-6.45E-06,-0.050608932,-0.031607076,0.207088774,0.127186427,1.341953411,1.274677592,0.020439762,-0.697727385
-0.016061554,-0.003477309,0.027092392,-0.052253451,-0.017126334,-0.004321757,0.661601781,0.661352769,0.539609724,-0.096338511
-0.01598064,0.006045669,0.026872358,-0.052168677,-0.016612913,-0.003561465,0.242923856,0.661352769,0.478530905,-0.813231104
0.084333199,-0.007195044,-0.0281163,0.032638476,0.0032233,0.012290971,-0.646766737,0.327731024,0.906082638,0.248214579
0.066957912,0.007214661,-0.031590844,0.02710495,0.137646626,0.097061622,-0.960775181,0.142385611,0.814464409,0.510987355
0.066628685,3.87E-05,-0.022079901,0.039189894,0.076015322,0.086440192,-1.300950996,0.142385611,0.814464409,-0.242441951
0.042995453,7.69E-05,0.06540955,0.012374665,0.130021103,-0.288730461,-0.672934107,0.273812358,0.845003819,0.369232531
0.049744786,1.16E-05,0.029310203,-0.060789769,-0.041358531,-0.066776879,0.478430189,0.452417939,0.631227952,0.823597681
0.052390172,-0.000463399,-0.045786256,-0.062528253,0.055662133,0.183307773,0.190589115,0.674832435,0.722846181,-0.495897963
0.04800896,-4.65E-05,0.096607725,-0.05873244,-0.148561018,-0.054576867,1.132614448,0.428828523,0.692306771,-1.476831622
0.097923318,4.78E-05,-0.038489196,-0.048977181,-0.159811773,0.055509694,-0.228088811,0.428828523,0.692306771,1.29785286
0.024069264,-0.021896364,0.009821779,0.020630128,0.060136887,-0.016931854,-0.620599366,0.681572269,1.028240276,0.246895843
-0.044638297,-0.008022591,-0.017343531,0.014726998,-0.05596366,0.008766141,0.033584893,0.681572269,1.028240276,1.179826077
0.054391416,-7.17E-05,-0.025801916,0.17669992,-0.040542746,0.01204449,-0.17575407,-0.598996044,-0.223875514,0.42728353
0.05567452,3.99E-05,0.096759872,0.172238208,-0.04986347,0.095426162,-0.437427774,-0.602365961,-0.223875514,1.00180404
0.087141938,-6.25E-05,-0.045242696,0.14706088,0.070861696,-0.427561673,-0.437427774,-0.602365961,-0.223875514,-1.423829231
0.091233244,0.000105156,0.017805044,0.138866284,0.085374311,0.126958171,-0.437427774,-0.602365961,0.264755038,-0.072898304
-0.007551924,0.00479742,0.045690228,0.020369508,0.02578518,-0.041325603,-0.90844044,0.597324353,1.058779685,1.435997613
-0.007544213,0.017457473,0.045568537,0.020386023,0.025910805,-0.040820606,-1.928967884,0.556885354,1.058779685,0.697634492
-0.044573277,0.008032875,-0.017820842,0.014808939,-0.055331078,0.010977785,0.059752263,0.556885354,1.058779685,0.601114853
-0.006162937,0.02838737,0.02715442,0.024977386,0.04976648,-0.123501463,-0.986942551,0.546775604,1.028240276,1.40447401
-0.047980148,0.014464016,0.001237714,-0.007327787,0.079142694,0.006152843,-0.201921441,0.637763353,0.845003819,0.044373833
-0.114456524,0.006577473,-0.00169211,-0.008021417,0.028454961,0.031498919,-0.751436218,0.651243019,0.845003819,1.223321183
-0.1144745,0.027584646,-0.001851827,-0.00804317,0.028219807,0.031491916,-0.228088811,0.651243019,0.845003819,0.413824893
-0.082251658,0.021869796,-0.037563314,-0.007622643,0.062966983,0.055545617,0.085919633,0.651243019,0.783925,-0.479407385
-0.047917096,-0.007260671,0.00138993,-0.007305943,0.079416312,0.006173343,-0.123419329,0.637763353,0.845003819,1.58175551
0.047258773,2.28E-05,0.019955118,0.008199262,-0.189137489,-0.031620907,-0.672934107,0.506336605,0.783925,0.774116639
0.041787027,0.026913664,0.002145828,0.01442479,-0.037732816,0.268627667,-0.672934107,0.691682018,1.028240276,0.527074662
0.042305997,-0.02696844,-0.020612874,0.022461697,-0.040455372,-0.042980232,-0.90844044,0.587214603,1.028240276,0.250673647
-0.076213646,0.004144542,-0.010775208,0.008712491,-0.030518636,-0.036641551,-0.594431996,0.587214603,1.028240276,0.800937124
-0.076782025,0.000785608,-0.011015361,0.008566376,-0.030608961,-0.035808282,-0.332758292,0.654612936,1.028240276,-0.653545138
-0.075800987,-0.019935632,-0.009781303,0.008696449,-0.031438853,-0.041088661,-0.542097255,1.092702095,1.058779685,0.300759272
-0.077043748,-0.016060385,-0.010690859,0.008422811,-0.031198704,-0.037538553,-0.646766737,1.092702095,1.119858504,-1.501170653
-0.029056571,-4.95E-06,-0.006078727,0.012110511,-0.038173004,-0.019341136,-0.934607811,0.863547766,1.058779685,0.712645061
-0.001650384,0.008292976,-0.062659605,-0.091765499,0.006287499,-0.148542267,0.295258596,-0.794451208,-1.170597208,-2.132856381
0.007187906,7.15E-05,0.081853176,-0.082363895,-0.017624586,0.040852944,-0.699101477,-0.794451208,-1.170597208,-0.94532989
0.017350916,0.095592341,0.044280594,-0.072891694,-0.03734359,0.064628797,-0.437427774,-0.794451208,-1.017900161,0.550547924
0.016954968,-0.100257273,0.043995446,-0.072973871,-0.037138426,0.064700248,-0.88227307,-0.794451208,-1.07897898,-0.341057024
-0.063858371,0.048128151,0.003967921,0.030996791,0.161261388,0.026263731,-0.201921441,-0.197975967,-0.987360751,-0.309344384
-0.064079855,-0.048008064,0.003952016,0.031286552,0.161148232,0.027055532,-0.1495867,-0.238414967,-0.987360751,0.200927839
-0.151933586,0.014556159,-0.028881803,0.070533701,-0.123445258,0.031854514,0.007417522,0.327731024,-1.07897898,-0.57919293
-0.152248526,-0.014724652,-0.029128164,0.070903713,-0.123183211,0.032069209,-0.463595144,0.327731024,-0.987360751,-2.531041327
-0.08247487,0.024314283,0.008589573,0.089744123,-0.04138684,-0.057624105,-0.254256181,-0.009260637,-0.743045475,0.771623992
-0.082554882,0.00063626,0.008153769,0.090116366,-0.040565953,-0.05717807,-0.542097255,-0.009260637,-0.743045475,-1.285472829
-0.082851536,-0.024143004,0.007847543,0.090056158,-0.04053049,-0.056484067,-0.332758292,0.068247445,-0.743045475,-0.402690295
-0.050380163,5.78E-05,-0.08749635,0.136974249,-0.080713101,0.138122295,-0.542097255,-0.140687385,-0.559809018,0.786888817
-0.072464067,-0.000126018,0.094044076,0.118561012,0.025305801,0.206752064,-0.803770959,-0.140687385,-0.590348428,0.984703675
0.125731903,0.410148427,-0.011407583,-0.030362017,-0.194372931,-0.00111904,-0.699101477,-0.868589373,-0.926281932,0.442376535
0.126078858,-0.422149337,-0.012174229,-0.031028436,-0.195116249,-0.001439068,-0.228088811,-0.828150374,-0.926281932,-0.448954305
0.126337755,0.013899024,-0.011618427,-0.030782021,-0.194644424,-0.00158568,-1.039277292,-0.828150374,-0.865203113,0.29444522
0.2112876,5.48E-06,-0.071319238,0.150437963,0.052821479,-0.170799266,-0.17575407,-0.44397988,0.050979172,0.039501166
0.204116035,-1.85E-06,0.096593693,0.163513319,0.118510102,0.126827421,0.085919633,-0.44397988,-0.010099647,0.059086826
-0.13808751,0.027681667,-0.010334159,0.184179367,0.08753315,0.021685982,-0.018749848,-0.096878469,-0.284954333,-0.232020546
-0.137602566,0.115851811,-0.009787782,0.18435806,0.087646087,0.019869921,-0.489762514,-0.096878469,-0.254414923,-0.543236965
-0.137602966,-0.146694838,-0.009849355,0.184191578,0.086840075,0.019608451,-0.777603588,-0.03621997,-0.193336104,-1.428303116
-0.115895352,-0.005626688,-0.021388919,0.18094349,-0.063903843,-0.086739547,-0.411260403,-0.03621997,-0.162796695,0.599235608
-0.076694349,0.065003947,0.039901394,-0.099662686,0.097277602,-0.122808449,-0.437427774,-0.110358135,-1.353833665,-1.844076908
-0.076768389,-0.065136477,0.039515867,-0.099701437,0.097532716,-0.123261971,2.283978743,-0.110358135,-1.353833665,-2.187640741
-0.085629741,0.000339982,-0.090579626,-0.092206648,0.058541045,0.152527098,-0.699101477,-0.069919136,-1.414912484,-1.880149567
-0.068379205,5.95E-07,-0.02492708,-0.037280649,-0.130400428,-0.083547595,-0.803770959,1.567860338,1.272555552,1.223635558
-0.059045909,3.27E-06,0.012562458,-0.03657543,-0.155628192,0.044994123,0.399928078,1.567860338,1.272555552,0.838546786
-0.004258402,-0.005834105,0.030120893,-0.021302644,0.005983492,0.03278805,-0.228088811,1.180319927,1.089319095,-0.159208658
-0.004305698,0.008140164,0.030024982,-0.021392762,0.00555755,0.032340533,-0.751436218,1.129771178,1.089319095,0.162816407
-0.038919146,0.026942375,-0.113976897,-0.02993679,-0.050425589,-0.218802771,0.007417522,1.129771178,1.180937323,-1.153181409
-0.074518454,-0.002045974,-0.00740109,-0.037731501,-0.075323792,0.119221585,-0.123419329,1.365665341,1.180937323,-1.323259077
-0.004449202,-0.036751809,0.030294262,-0.021163287,0.006604087,0.033581366,-0.620599366,0.823108766,1.089319095,-0.957424147
0.070099259,0.014042182,0.005111633,0.013731175,0.017795847,-0.022687878,-0.332758292,-0.774231708,-0.010099647,1.105949097
0.069565598,0.010057134,0.00531206,0.01375163,0.017835972,-0.022946809,-0.437427774,-0.989906371,-0.010099647,-0.195959971
0.06769155,-0.007789436,0.00600336,0.013825638,0.017877539,-0.02391882,0.58309967,-1.134812785,-0.162796695,-0.094970988
0.068153058,-0.005244288,0.005892282,0.013819502,0.017837985,-0.023747731,-0.018749848,-0.919138122,-0.162796695,0.685949913
0.056103129,3.83E-06,0.025125088,0.011961016,-0.054808047,0.064482238,-0.699101477,-1.205581034,-0.346033152,1.830943927
0.044044036,4.62E-06,-0.011992336,0.010030911,-0.116174398,-0.101137826,0.347593337,-0.84163004,-0.43765138,-1.324028076
0.069527509,-0.00491996,0.005628419,0.013820676,0.017558628,-0.023409359,0.085919633,-0.349622215,0.050979172,0.894820025
0.069705085,-0.006291381,0.005600596,0.013823468,0.017489156,-0.023395018,0.975610226,-0.349622215,0.234215629,0.121374846
0.068432844,-6.11E-06,-0.017437414,0.102327481,-0.097524568,-0.01326561,0.609267041,0.098576695,0.509070314,1.012469083
0.072331777,0.077736778,-0.009263743,0.104013866,0.026747939,0.01943497,-0.699101477,0.223263609,0.509070314,-0.075135787
0.080264642,-0.07755181,0.02040118,0.104357822,-0.061494733,-0.04274535,-0.437427774,0.223263609,0.509070314,0.234121535
0.225740361,2.94E-05,-0.034154508,0.005177866,-0.099665068,0.111659712,-0.437427774,0.243483109,0.631227952,0.647808221
0.202697698,2.27E-06,0.025863126,0.004816576,0.03402343,-0.024743448,0.609267041,0.233373359,0.631227952,1.142644271
0.188234437,1.37E-06,-0.02418871,0.006132775,0.074042905,0.012945901,0.609267041,0.233373359,0.631227952,1.218089964
0.1964552,-5.68E-05,0.006893151,0.004977723,-0.033143062,-0.015880786,0.347593337,-0.093508552,0.600688543,1.54709085
0.209779302,1.49E-05,-0.055807372,-0.003658067,0.059175587,-0.013637595,-0.17575407,-0.093508552,0.600688543,0.173470869
0.148262309,0.058257138,0.022515361,-0.128974098,-0.135024558,0.074769401,0.085919633,-1.465064613,-0.926281932,1.113532713
0.148298629,-0.05874868,0.022579226,-0.129085196,-0.13512153,0.074579403,-0.17575407,-1.465064613,-0.926281932,0.148383373
-0.008134765,-0.000179825,-0.319351679,-0.003639306,0.019083438,0.004395346,0.085919633,-2.735523176,-1.934082446,-1.283212261
-0.036173369,-7.71E-05,0.488910605,-0.007793189,-0.004526384,-0.016829891,0.085919633,-2.735523176,-1.934082446,1.234214971
-0.008134532,-0.000155999,-0.319379629,-0.00363929,0.01908352,0.004396623,0.347593337,-2.735523176,-1.934082446,-0.361541072
