PCNM10,PCNM38,PCNM7,CLAY,TEMPMIN,PREC,ELEV,rao_sp
-0.033134008,-0.060183234,0.123417465,-0.122871541,0.221431927,0.071617362,-0.464684719,-2.037602439
-0.023733464,0.119458377,0.088007126,0.265270969,-0.031159583,1.082592345,-0.098084239,0.143077599
-0.023661863,0.172562833,0.088067425,-0.607443963,0.053037587,0.678202352,-0.256301289,-0.169625355
-0.023540974,0.172431954,0.087994056,-0.025957057,0.053037587,0.364800107,-0.128955859,-0.288104161
0.063157573,-0.022622451,-0.075530553,0.8656562,0.642417778,-1.084264036,-0.823567294,0.261497878
0.06312398,-0.020734854,-0.07545406,0.8656562,0.642417778,-1.084264036,-0.808131484,-0.069104649
0.062974733,0.028800968,-0.076331617,0.768741716,0.558220608,-1.202211118,-0.823567294,-0.358492425
0.040023545,0.021498502,-0.009912774,0.8656562,0.642417778,-1.438105281,-0.746388245,-0.87167534
0.039782898,0.019818648,-0.009217774,1.059485169,0.642417778,-1.333637866,-0.746388245,-0.840707132
0.039997109,-0.000345195,-0.009377874,1.253314138,0.642417778,-1.26960945,-0.746388245,-1.94878969
0.039700403,-0.004871215,-0.008499298,0.671827231,0.642417778,-1.26960945,-0.746388245,-0.648814829
0.065618445,-0.005140259,-0.161027459,0.284169294,0.053037587,-0.369841715,-0.206134907,0.750035193
0.065955718,-0.002636992,-0.161167767,-0.006089587,0.137234757,-0.379951464,-0.345057194,1.489414171
0.064980038,-0.009355127,-0.160713171,0.574912747,0.053037587,-0.369841715,-0.5148511,0.248775189
-0.070208879,-5.61E-05,-0.167047733,0.788124612,0.642417778,-2.068279687,-0.719375579,0.278227899
-0.005921777,-0.111139921,-0.061874443,0.100031773,0.726614948,0.364800107,-0.823567294,-1.384413526
0.007688533,-0.002768416,-0.021370273,0.196946258,0.726614948,0.206414026,-0.823567294,-0.556975887
-0.00593904,-0.134555124,-0.061688556,-0.142254438,0.726614948,0.364800107,-0.823567294,-0.164876096
-0.005961162,-0.152563098,-0.061518268,-0.258551819,0.726614948,0.385019607,-0.823567294,-0.691489971
0.038116562,-0.008726545,0.017855368,1.253314138,0.726614948,0.132275861,-0.823567294,-0.118675867
0.038158308,0.013469601,0.017706968,0.8656562,0.726614948,-0.076658969,-0.823567294,-1.147691627
0.038069349,-0.018170499,0.017446016,0.8656562,0.642417778,-0.076658969,-0.823567294,-0.321731907
0.026130342,-0.00194387,-0.007631778,0.545838401,0.474023438,0.492856938,-0.209993859,-0.042051494
0.026003038,-0.001008468,-0.00796082,0.545838401,0.474023438,0.492856938,-0.248583384,0.678579419
0.054109524,-0.069052242,-0.000384447,0.085979173,0.305629098,0.543405687,-0.190699097,0.144190594
0.054056544,-0.069296941,-0.000817128,0.933496339,0.305629098,0.748970601,-0.128955859,0.510524261
0.011539871,0.00023349,-0.016459625,-1.73116741,-2.136088833,1.271307676,1.858404636,-0.067673208
0.011515105,-0.000784791,-0.016386071,-1.73116741,-2.136088833,1.271307676,2.105377591,-0.318242777
0.090883037,0.002535018,0.010655295,-1.852310515,-4.325215254,-3.844225742,3.664394367,1.315770963
0.066218663,0.003308852,0.036097275,-1.610024304,-3.904229404,-2.189596685,3.456010937,0.620886345
0.066261231,0.00042093,0.036259139,-1.876539136,-3.904229404,-2.189596685,3.351819222,-0.164876096
-0.00663213,0.015935979,-0.021691217,-1.391966714,-0.283751093,0.701791768,0.561796624,-2.698310822
0.07288452,-0.003784851,0.096917499,-0.641364033,-0.031159583,0.56025527,0.179760335,0.4233131
-0.006785414,0.019672283,-0.022089072,-0.762022566,-0.283751093,0.759080351,0.530925005,-0.092057298
-0.044714677,-0.099751351,-0.114865005,-1.610024304,-0.536342603,0.846698183,0.770180054,0.423536322
-0.054627297,0.006953585,-0.10945828,-1.004308777,-1.041525623,1.584709921,1.090473105,1.469783263
-0.05453118,-0.001642774,-0.09468304,-1.610024304,-1.041525623,1.547640838,1.33744606,0.674844198
-0.054625762,-0.006151658,-0.110002744,-1.852310515,-1.041525623,1.547640838,1.028729866,0.377132953
-0.044399277,0.007735071,-0.087052574,-1.585795683,-1.041525623,1.547640838,1.271843869,1.749729833
0.035831834,-0.000706582,0.012055299,-1.828081894,-2.388680344,1.719506585,2.186415592,-0.920960619
0.039087697,0.000246606,0.018042997,-1.828081894,-2.304483173,1.274677592,2.225005116,0.28853752
0.011298122,-0.003953164,-0.016061554,-0.665108081,-0.367948263,0.661352769,0.488476528,2.249093679
0.011236144,-0.005088462,-0.01598064,-0.907394292,-0.283751093,0.661352769,0.515489195,1.02487024
-0.028568988,0.037084252,0.084333199,0.788609185,0.474023438,0.327731024,-0.5148511,-0.087201096
-0.064268263,-0.036983205,0.066957912,0.545838401,0.810812118,0.142385611,-0.669209197,-0.846838316
-0.092563235,0.002870023,0.066628685,0.546322974,0.810812118,0.142385611,-0.696221864,-0.016208431
-0.050074789,0.023520651,0.042995453,0.424695296,0.642417778,0.273812358,-0.476261576,0.809036308
0.029088989,-0.007848216,0.049744786,0.061265979,0.221431927,0.452417939,-0.05177681,0.564711841
0.039917283,0.008423499,0.052390172,-0.059877126,0.053037587,0.674832435,0.067850715,0.947367796
0.019180052,0.007238721,0.04800896,-1.028537398,0.305629098,0.428828523,-0.155968526,-1.8314324
0.051826737,-0.006617971,0.097923318,0.30355219,0.305629098,0.428828523,-0.206134907,0.873535085
0.04315523,0.042241,0.024069264,0.424695296,0.389826268,0.681572269,-0.159827478,-0.423712625
0.000185893,-0.016182602,-0.044638297,0.424695296,0.389826268,0.681572269,-0.101943192,-0.130848619
-0.073625664,-0.00184794,0.054391416,1.253314138,0.726614948,-0.598996044,-0.796554627,1.323505073
-0.07444171,0.013190864,0.05567452,1.059485169,0.726614948,-0.602365961,-0.796554627,0.314965312
-0.065676894,0.007041637,0.087141938,1.059485169,0.726614948,-0.602365961,-0.703939769,-1.010274103
-0.068269814,-0.018496099,0.091233244,1.059485169,0.305629098,-0.602365961,-0.437672052,0.650314863
0.029208399,-0.021589003,-0.007551924,-0.059877126,0.474023438,0.597324353,-0.360493004,1.121906872
0.029149981,-0.014406415,-0.007544213,0.30355219,0.558220608,0.556885354,-0.360493004,1.533094863
-3.98E-05,0.016158682,-0.044573277,0.667466079,0.558220608,0.556885354,-0.437672052,0.569972688
0.020549164,-0.291037602,-0.006162937,0.788124612,0.474023438,0.546775604,-0.360493004,1.114556933
-0.017559464,-0.021382092,-0.047980148,-1.51310982,-0.536342603,0.637763353,0.924538151,0.35611371
-0.044576549,-0.120800063,-0.114456524,-1.852310515,-0.704736943,0.651243019,1.0017172,3.733700221
-0.044603202,-0.1275732,-0.1144745,-1.610024304,-0.704736943,0.651243019,1.171511106,-0.474769164
-0.030544897,-0.041102154,-0.082251658,-1.416195335,-0.620539773,0.651243019,1.059601486,-0.177900536
-0.017521333,-0.014289827,-0.047917096,-1.537338441,-0.536342603,0.637763353,0.74702634,0.466712719
0.105422999,-0.002048359,0.047258773,-0.205248853,-0.115356753,0.506336605,0.349554241,-0.862938358
-0.006130073,0.068600465,0.041787027,0.037037358,0.474023438,0.691682018,-0.202275955,-0.973222055
0.029482287,-0.059511235,0.042305997,0.400466675,0.474023438,0.587214603,-0.237006526,-0.285080582
-0.026765268,0.193634372,-0.076213646,0.400466675,0.474023438,0.587214603,-0.283313955,0.227363302
-0.026913809,0.180654477,-0.076782025,-1.149680503,0.389826268,0.654612936,-0.260160241,0.507982391
-0.02631488,0.152178387,-0.075800987,-0.205248853,0.221431927,1.092702095,0.15660662,0.544573189
-0.02680454,0.145608284,-0.077043748,-1.052766019,-0.031159583,1.092702095,0.349554241,-2.258986369
-0.000515803,-0.000945401,-0.029056571,-0.205248853,0.221431927,0.863547766,0.083286524,-0.428853205
0.0176035,-0.394229196,-0.001650384,1.127325308,0.558220608,-0.794451208,-0.78497777,1.49159107
-0.002264651,3.26E-05,0.007187906,0.642752886,0.558220608,-0.794451208,-0.746388245,0.028316626
-0.023043447,-0.008246353,0.017350916,0.52160978,0.642417778,-0.794451208,-0.78497777,-1.143895139
-0.022654038,-0.026805747,0.016954968,1.00569763,0.642417778,-0.794451208,-0.78497777,-0.27598066
-0.043339078,-0.010897958,-0.063858371,0.982438154,0.558220608,-0.197975967,-0.746388245,-0.600974631
-0.04338344,-0.002514102,-0.064079855,0.496896587,0.558220608,-0.238414967,-0.746388245,0.096203418
0.003841431,-0.211684997,-0.151933586,0.618524265,0.558220608,0.327731024,-0.823567294,0.019650045
0.003850144,-0.114448059,-0.152248526,0.73966737,0.474023438,0.327731024,-0.823567294,0.104989493
0.05046189,0.013433455,-0.08247487,1.224239792,0.558220608,-0.009260637,-0.746388245,-0.971043912
0.050480395,0.146508257,-0.082554882,0.73966737,0.558220608,-0.009260637,-0.746388245,-0.154037121
0.050507324,0.15640119,-0.082851536,0.860810476,0.558220608,0.068247445,-0.746388245,0.227574114
0.038925283,0.001885899,-0.050380163,0.860810476,0.558220608,-0.140687385,-0.823567294,-0.844375589
0.081159098,0.023335942,-0.072464067,0.497381159,0.558220608,-0.140687385,-0.823567294,0.172141161
-0.027500354,-0.015717627,0.125731903,0.73966737,0.642417778,-0.868589373,-0.78497777,-2.123222171
-0.027683565,0.004531166,0.126078858,0.860810476,0.642417778,-0.828150374,-0.750247198,-0.154297529
-0.027789483,0.011194919,0.126337755,0.860810476,0.642417778,-0.828150374,-0.746388245,-1.808304787
0.099484772,-0.009478528,0.2112876,0.788124612,0.810812118,-0.44397988,-0.862156818,-1.115958873
0.077606617,-0.006256786,0.204116035,0.981469009,0.895009288,-0.44397988,-0.823567294,-0.188890568
0.04145296,0.025641374,-0.13808751,-0.592422218,0.558220608,-0.096878469,-0.823567294,0.229242009
0.041506546,0.00371475,-0.137602566,0.981953581,0.558220608,-0.096878469,-0.839003104,0.055330281
0.041566115,-0.009859938,-0.137602966,0.73966737,0.558220608,-0.03621997,-0.823567294,-0.296773057
0.064674755,0.389436233,-0.115895352,0.860810476,0.558220608,-0.03621997,-0.842862056,-1.678453858
0.083184451,0.007344882,-0.076694349,0.497865732,0.474023438,-0.110358135,-0.746388245,1.400246421
0.08325705,-0.006493167,-0.076768389,1.345382898,0.474023438,-0.110358135,-0.750247198,-0.377142716
0.093572633,0.028924471,-0.085629741,1.103096687,0.558220608,-0.069919136,-0.746388245,0.725549989
0.012544486,-0.000297586,-0.068379205,-1.440423957,-0.873131283,1.567860338,0.87437177,0.623743842
0.017034414,0.000478413,-0.059045909,-0.108334368,-0.620539773,1.567860338,0.920679199,1.099955065
0.053967256,-0.112233301,-0.004258402,0.134436415,-0.115356753,1.180319927,0.334118431,2.237968183
0.053966658,-0.114922142,-0.004305698,0.133951843,-0.115356753,1.129771178,0.357272146,0.573146474
0.033243106,0.074430229,-0.038919146,-0.714049896,-0.367948263,1.129771178,0.480758623,0.300040399
0.006734927,0.367344257,-0.074518454,-0.350620579,-0.367948263,1.365665341,0.565655576,0.217714749
0.053925838,-0.110319222,-0.004449202,-0.350136007,-0.115356753,0.823108766,0.334118431,0.89183165
0.013943634,-0.018663554,0.070099259,-1.319280851,-1.125722793,-0.774231708,1.264125964,0.449652157
0.013806007,-0.020098828,0.069565598,-1.198137745,-1.125722793,-0.989906371,1.43391987,1.270551636
0.013352065,-0.010378006,0.06769155,-1.682710168,-1.715102983,-1.134812785,1.80052035,-0.400615093
0.013512342,-0.00670139,0.068153058,-1.319280851,-1.715102983,-0.919138122,1.723341302,-0.276680646
0.017321804,-0.000240848,0.056103129,-1.803853273,-1.967694493,-1.205581034,1.970314256,0.348938767
0.020505778,-0.01053836,0.044044036,-2.046139484,-2.051891663,-0.84163004,1.985750066,1.141654912
0.014092753,0.030636066,0.069527509,-1.440423957,-1.378314303,-0.349622215,1.183087963,-0.357394219
0.014184245,0.040705807,0.069705085,-1.198137745,-1.209919963,-0.349622215,1.426201965,0.15475612
0.026665854,0.004868372,0.068432844,0.439232469,0.895009288,0.098576695,-0.78497777,-0.159207642
0.005880591,0.008357198,0.072331777,0.439232469,0.895009288,0.223263609,-0.78497777,0.851429087
0.033951878,-0.00801265,0.080264642,0.633061437,0.895009288,0.223263609,-0.78497777,-0.012247295
0.06084897,0.001142108,0.225740361,-0.762022566,-0.031159583,0.243483109,0.168183477,-0.385037427
0.048240736,0.000425581,0.202697698,0.30355219,-0.199553923,0.233373359,0.256939383,0.553194757
0.051685317,0.002662334,0.188234437,0.788609185,-0.199553923,0.233373359,0.233785668,-0.972474441
-0.017013733,0.014420811,0.1964552,0.032191634,0.726614948,-0.093508552,-0.669209197,0.03407783
-0.033610897,-0.005205325,0.209779302,0.32341966,0.726614948,-0.093508552,-0.669209197,0.545593874
-0.071278606,-0.000975189,0.148262309,1.582338812,0.726614948,-1.465064613,-0.669209197,0.186715215
-0.071198785,-0.010412644,0.148298629,1.388994416,0.726614948,-1.465064613,-0.707798721,-1.79101982
-0.490145839,0.001902457,-0.008134765,1.195165447,0.642417778,-2.735523176,-0.707798721,-0.716276722
-0.508871074,0.000137968,-0.036173369,1.4859089,0.642417778,-2.735523176,-0.707798721,-1.707003628
-0.490140636,0.001902291,-0.008134532,0.710593025,0.642417778,-2.735523176,-0.707798721,-2.57051651
