PCNM38,PCNM7,OrganicMatter,TEMPSD,uniqueness_sp
-0.060183234,0.123417465,-0.752900987,0.166030508,1.708223664
0.119458377,0.088007126,-0.171773219,-0.078396167,0.009707877
0.172562833,0.088067425,-0.702263298,0.003079391,0.257104593
0.172431954,0.087994056,-1.353319303,0.003079391,-0.733565089
-0.022622451,-0.075530553,-0.21999959,-0.257642396,-0.678470006
-0.020734854,-0.07545406,-0.118724211,-0.159871726,-0.76203553
0.028800968,-0.076331617,0.091060502,-0.502069071,-0.65408947
0.021498502,-0.009912774,-0.31886365,-0.143576614,-1.20193907
0.019818648,-0.009217774,-0.253758049,0.214915843,-0.466728783
-0.000345195,-0.009377874,-0.511769133,-0.143576614,-0.96307257
-0.004871215,-0.008499298,-0.113901574,0.214915843,-0.311040921
-0.005140259,-0.161027459,-0.752900987,-0.355413066,0.037519844
-0.002636992,-0.161167767,-0.338154198,-0.502069071,0.270149125
-0.009355127,-0.160713171,-1.413602267,-0.355413066,-0.171167379
-5.61E-05,-0.167047733,-0.916870648,-0.029510832,0.357012313
-0.111139921,-0.061874443,-1.153179865,-0.127281502,1.538171461
-0.002768416,-0.021370273,-1.314738207,-0.127281502,0.387857124
-0.134555124,-0.061688556,-0.998855478,-0.127281502,0.279928676
-0.152563098,-0.061518268,-1.172470413,0.214915843,1.436706565
-0.008726545,0.017855368,-0.61545583,-0.371708178,0.332585668
0.013469601,0.017706968,-0.581697371,0.100850061,1.386416388
-0.018170499,0.017446016,-0.193475086,0.28009629,-0.215934228
-0.00194387,-0.007631778,-0.145248715,1.143737209,-0.482771095
-0.001008468,-0.00796082,-0.369501339,0.654883859,4.924171476
-0.069052242,-0.000384447,0.459992238,0.817834976,0.299575422
-0.069296941,-0.000817128,-0.437018258,0.817834976,0.530675798
0.00023349,-0.016459625,1.412463061,-2.32712158,-1.040034168
-0.000784791,-0.016386071,0.65530904,-2.32712158,-1.146119826
0.002535018,0.010655295,3.141378454,-1.805678006,0.404172133
0.003308852,0.036097275,3.491019642,-1.805678006,-0.17389384
0.00042093,0.036259139,2.868899459,-1.805678006,-0.79601578
0.015935979,-0.021691217,0.963957813,-0.208757061,-3.452784272
-0.003784851,0.096917499,0.293611259,0.850425199,0.628734657
0.019672283,-0.022089072,0.679422225,0.866720311,0.354676055
-0.099751351,-0.114865005,0.537154431,-0.241347284,-0.378823283
0.006953585,-0.10945828,0.633607173,-1.626431778,0.409062343
-0.001642774,-0.09468304,1.323244275,-1.626431778,-0.336946043
-0.006151658,-0.110002744,1.173742526,-1.626431778,-0.573784219
0.007735071,-0.087052574,-0.205531679,-1.626431778,1.564285572
-0.000706582,0.012055299,2.070753023,-1.773087783,-1.451450953
0.000246606,0.018042997,1.250904719,-2.783384707,-0.660285902
-0.003953164,-0.016061554,-0.936161196,-0.730200635,1.126693951
-0.005088462,-0.01598064,-0.097022344,-0.371708178,0.136827329
0.037084252,0.084333199,-0.538293637,1.469639443,-0.268074043
-0.036983205,0.066957912,0.443113008,1.094851874,0.005955165
0.002870023,0.066628685,0.228505658,1.094851874,-0.614856635
0.023520651,0.042995453,-0.068086522,0.752654529,0.652334479
-0.007848216,0.049744786,-0.687795387,0.67117897,-0.157920076
0.008423499,0.052390172,-0.654036927,0.18232562,-0.134245474
0.007238721,0.04800896,0.799988152,0.345276737,-1.890548304
-0.006617971,0.097923318,-0.598576601,0.345276737,0.479677199
0.042241,0.024069264,-0.506946496,1.225212768,0.228359489
-0.016182602,-0.044638297,-0.878289551,1.225212768,-0.730802869
-0.00184794,0.054391416,-0.678150112,0.752654529,1.022817723
0.013190864,0.05567452,-0.810772632,0.5734083,1.838276654
0.007041637,0.087141938,-0.473188037,0.5734083,-0.720741956
-0.018496099,0.091233244,-0.106667619,0.166030508,0.788511408
-0.021589003,-0.007551924,-0.18624113,1.33927855,1.008625209
-0.014406415,-0.007544213,0.320135763,1.33927855,0.688769402
0.016158682,-0.044573277,-1.208640191,1.33927855,0.296154034
-0.291037602,-0.006162937,-0.777014172,1.062261651,0.861953835
-0.021382092,-0.047980148,0.86991639,-0.078396167,-0.632531183
-0.120800063,-0.114456524,0.088649183,-0.290232619,3.177773446
-0.1275732,-0.1144745,1.730757108,-0.290232619,-1.34616707
-0.041102154,-0.082251658,0.380418726,0.068259838,-0.953768434
-0.014289827,-0.047917096,0.93502199,-0.078396167,-0.349981735
-0.002048359,0.047258773,-0.191063767,1.013376316,0.318168424
0.068600465,0.041787027,-0.029505425,1.062261651,0.307082758
-0.059511235,0.042305997,0.30807917,1.062261651,0.10768444
0.193634372,-0.076213646,-0.174184538,1.062261651,-0.239080273
0.180654477,-0.076782025,1.096580333,1.029671427,-0.408596015
0.152178387,-0.075800987,-0.154893989,1.078556763,0.029816184
0.145608284,-0.077043748,0.763818374,-0.013215721,-3.054719526
-0.000945401,-0.029056571,0.356305541,1.078556763,-0.864287131
-0.394229196,-0.001650384,-0.470776718,0.328981625,0.63887491
3.26E-05,0.007187906,-0.475599355,0.328981625,-0.205519191
-0.008246353,0.017350916,0.023543583,0.198620731,-0.345491825
-0.026805747,0.016954968,-0.171773219,0.068259838,0.892399751
-0.010897958,-0.063858371,-0.053618611,-0.713905523,-0.811031534
-0.002514102,-0.064079855,0.02836622,-0.713905523,-0.087527034
-0.211684997,-0.151933586,-0.007803558,-0.567249518,-0.557757834
-0.114448059,-0.152248526,0.469637512,-0.567249518,-0.679585225
0.013433455,-0.08247487,-0.533471,-0.844266417,0.208386755
0.146508257,-0.082554882,-0.330920243,-0.844266417,-0.771664009
0.15640119,-0.082851536,-0.490067266,-0.844266417,0.161433075
0.001885899,-0.050380163,-0.521414407,-0.127281502,-0.814726636
0.023335942,-0.072464067,-0.002980921,-0.713905523,0.2754755
-0.015717627,0.125731903,-0.502123859,0.198620731,1.541011363
0.004531166,0.126078858,-0.78183681,0.198620731,-0.334673439
0.011194919,0.126337755,-0.07049784,0.08455495,-0.817994934
-0.009478528,0.2112876,-0.622689786,0.557113189,-0.310275037
-0.006256786,0.204116035,-0.78183681,0.736359417,0.225921839
0.025641374,-0.13808751,0.850625842,-0.192461949,-0.408047238
0.00371475,-0.137602566,-0.78183681,-0.062101056,0.178849303
-0.009859938,-0.137602966,-0.458720125,0.003079391,-1.178473537
0.389436233,-0.115895352,-0.796304721,-0.176166837,-0.199259185
0.007344882,-0.076694349,0.544388387,-0.453183736,0.268194953
-0.006493167,-0.076768389,-0.907225374,-0.453183736,-1.094320361
0.028924471,-0.085629741,-0.398437162,-0.860561528,-0.277784256
-0.000297586,-0.068379205,1.619836456,-1.023512645,-0.37395812
0.000478413,-0.059045909,-0.940983833,-1.414595326,-0.061246379
-0.112233301,-0.004258402,-0.35262211,-0.045805944,1.173071051
-0.114922142,-0.004305698,-0.461131444,-0.045805944,-0.134324239
0.074430229,-0.038919146,0.636018492,-0.159871726,-0.708256632
0.367344257,-0.074518454,0.013898308,-0.159871726,-0.792653392
-0.110319222,-0.004449202,-0.053618611,-0.045805944,-0.010804207
-0.018663554,0.070099259,1.523383714,-1.26793932,-0.186170977
-0.020098828,0.069565598,0.353894222,-1.26793932,0.658039115
-0.010378006,0.06769155,2.097277526,-1.544956219,-1.296827333
-0.00670139,0.068153058,0.493750698,-1.544956219,-0.986478448
-0.000240848,0.056103129,2.712163754,-1.398300214,-0.248335412
-0.01053836,0.044044036,3.946758846,-1.756792671,0.442191432
0.030636066,0.069527509,1.590900633,-0.958332198,-1.042739794
0.040705807,0.069705085,0.247796207,-1.561251331,-0.883959914
0.004868372,0.068432844,-0.793893402,2.202919469,0.19258225
0.008357198,0.072331777,-0.511769133,1.958492794,1.039043991
-0.00801265,0.080264642,-0.707085935,1.958492794,0.197345526
0.001142108,0.225740361,-0.099433663,1.306688326,1.738580076
0.000425581,0.202697698,-0.92892724,1.013376316,0.791928022
0.002662334,0.188234437,-1.331617437,1.013376316,0.786025696
0.014420811,0.1964552,-0.994032841,1.502229666,0.377954531
-0.005205325,0.209779302,-1.022968664,1.502229666,0.641337166
-0.000975189,0.148262309,-0.991621523,0.231210955,1.202101275
-0.010412644,0.148298629,-0.998855478,0.231210955,0.088985927
0.001902457,-0.008134765,-0.719142528,1.355573661,0.94516779
0.000137968,-0.036173369,-0.73119912,1.355573661,-0.072463633
0.001902291,-0.008134532,-0.839708455,1.355573661,-0.147496267
